#{"t_start": 1704427591.0055428, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-140.69693,115,0.198616
-252.878729,106,0.277515
-199.286897,96,0.310543
-191.884543,98,0.342776
-512.529737,97,0.377614
-424.513579,93,0.409925
-239.76644,135,0.464816
-81.638101,72,0.487864
-160.204081,155,0.54493
-287.57701,135,0.596332
-282.649205,96,0.628386
-385.60279,86,0.656181
-246.689015,90,0.684089
-337.411672,88,0.713855
-132.731685,67,1.458414
-66.89375,71,1.480567
-516.499801,91,1.511027
-475.209596,82,1.538652
-238.742993,106,1.575511
36.302876,104,1.611088
-132.938558,70,1.633742
-227.291721,130,1.679217
-198.850857,81,1.705507
-225.172775,114,1.745085
-417.94945,99,1.776625
-126.605026,93,1.807293
-105.787524,150,1.862211
-70.162637,78,1.88655
-447.65981,140,1.940684
-73.912254,98,2.873913
-369.747006,101,2.906131
-286.589662,162,2.969647
-108.290384,92,2.999675
-61.932792,102,3.034102
-103.58114,123,3.074133
-309.651199,117,3.117394
-236.119422,96,3.149199
-229.760222,73,3.173249
-389.93512,102,3.206664
-254.725936,133,3.256345
-217.156689,120,3.29922
-373.648066,127,3.34391
-153.0075,97,3.375573
-77.220349,107,4.378993
-149.537711,85,4.406388
-250.080494,95,4.437669
-144.085985,72,4.460064
-277.134775,99,4.494339
-192.272446,83,4.521014
-68.527386,100,4.555097
-255.504617,124,4.601232
-138.895725,74,4.625429
-273.159854,80,4.652337
-148.353546,85,4.6802
-243.660614,79,4.706266
-224.333022,110,4.744104
-250.28796,178,4.816252
-94.761792,69,4.838227
-244.01257,123,5.471986
-146.981899,95,5.503528
-280.659707,110,5.542744
-72.411967,92,5.576089
-59.788596,74,5.601117
-96.154749,116,5.645124
-267.359289,122,5.687557
-131.865477,123,5.737715
-428.670379,109,5.778801
-159.494943,111,5.817719
-526.805716,121,5.864133
-125.672663,156,5.924748
-250.079339,175,5.998197
-477.701833,121,6.855352
-40.115312,68,6.877441
-31.096086,173,6.94548
-283.715532,96,6.977406
-423.595624,94,7.007675
-225.750575,65,7.028588
-82.798446,143,7.079209
-187.341076,104,7.114095
-301.566544,83,7.140668
-158.281935,139,7.19104
-307.849487,97,7.224254
-121.911991,130,7.271681
-112.334283,100,7.30401
-57.76974,70,7.326903
-627.58311,140,8.764613
-283.953346,112,8.801098
-289.182838,102,8.836447
-32.249462,74,8.860857
-76.030593,81,8.887627
-287.998671,119,8.929476
-418.092707,91,8.958551
-323.454452,143,9.01335
-247.17712,126,9.05759
-121.335094,103,9.562946
-199.353843,93,11.218013
-39.63245,125,13.275519
-123.356262,1000,32.617809
-42.778613,1000,54.913391
198.380492,454,61.62244
177.691249,600,72.430908
-31.332993,135,74.664994
245.469508,338,83.054618
141.021704,857,98.404258
-286.047529,88,99.849026
30.431892,105,101.574114
-45.71653,126,103.646701
-185.38595,874,120.464946
129.114344,527,129.733105
-96.661647,212,134.88595
18.466824,163,137.593983
8.091959,152,140.113515
-131.437055,197,143.37631
148.890361,507,152.228773
-345.909774,179,155.181895
-11.425543,93,156.697114
-192.862767,378,164.349431
7.514946,117,166.320568
0.160901,191,169.535004
-102.442128,307,174.727128
270.310997,232,178.611089
-31.88137,73,179.826185
-13.974683,297,184.88477
239.022428,222,190.811124
240.799161,503,199.616673
261.5501,308,204.912192
27.041289,189,208.048653
-483.92257,373,217.061244
271.879578,255,221.366904
183.411199,863,236.344036
267.084387,312,241.632014
260.416273,328,249.240252
184.208179,587,259.589721
248.446457,456,267.418217
-24.748171,319,279.936905
86.439149,1000,299.329663
162.358612,505,313.513391
-192.044527,648,325.051944
230.067628,287,329.937107
-57.129295,181,332.960986
-240.39833,570,345.473153
213.899778,520,354.534807
215.821353,238,358.559153
227.615138,638,381.912899
173.294965,778,395.482925
196.959991,934,424.660184
-113.085294,1000,442.884427
-46.340033,1000,469.726968
-50.244171,1000,498.424685
205.062666,238,502.473926
243.868815,273,507.135399
216.63958,437,514.957817
213.144418,283,524.901465
-85.328291,696,536.937625
147.661472,756,552.925473
4.41438,211,556.495543
243.064596,259,560.903505
232.653033,334,566.602643
208.135368,276,571.282665
22.697363,1000,589.643477
17.792336,82,590.809937
255.110444,349,595.845547
1.734558,166,598.208382
280.140151,224,604.630051
245.333914,239,608.099399
267.17401,396,613.923193
222.698564,569,622.399247
207.688512,358,629.912853
238.156239,250,633.514389
273.955925,291,637.73393
263.129062,279,641.73059
258.423466,226,644.958067
262.561399,225,648.171365
219.052465,309,655.279139
262.954358,224,658.492167
236.530925,337,663.447731
216.010314,581,672.019267
257.238028,267,677.603034
258.334185,248,681.155824
256.846155,214,684.169283
278.964717,238,687.551347
272.050697,662,697.491757
