#{"t_start": 1713597529.6650746, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,2.701478
-100.259652,73,2.734398
-116.700649,78,2.767911
-92.186772,1600,5.065001
-101.890562,100,5.107059
-101.011971,1600,6.293846
-78.576327,1600,13.721789
-113.689507,57,13.758861
-113.503877,67,13.800254
-108.296578,48,13.831954
-112.743739,48,13.864768
-117.652578,71,13.909255
-99.491715,126,13.986424
-100.772134,74,14.03284
-101.106839,53,14.06733
-100.597213,79,14.118106
-102.152501,85,14.169584
-123.593901,120,14.243466
-121.438777,107,16.945126
-89.43426,1600,24.540456
-100.063141,75,24.579925
-79.956503,1600,75.280152
-106.232527,69,78.800044
-121.035953,114,84.925231
-124.563965,77,89.126946
-205.075281,1347,157.913548
-106.584961,81,161.930609
-108.71239,82,166.407823
-105.893343,87,171.14082
-104.869798,67,173.367968
-108.787075,77,175.00393
-104.04699,59,176.164951
-104.697977,65,177.439124
-134.397777,169,181.217076
-85.181422,1600,248.224015
-116.85215,99,250.679727
-109.454521,1600,308.266394
-107.658385,1600,375.423105
-109.434085,1600,456.303114
-174.047118,1600,549.739154
-118.441079,143,557.659697
-115.895471,119,564.572558
-117.742495,57,567.705813
-116.118843,136,575.243497
-118.418644,108,581.533765
-118.336656,59,585.029434
-116.169716,134,592.440167
-112.520423,74,597.371658
-116.346938,39,599.970446
-115.990762,49,603.456531
-114.146735,96,609.255835
-113.008254,50,612.130776
-105.337526,1600,705.081374
-115.039346,40,707.458011
-122.021138,174,718.213348
-101.662727,1600,796.87455
-76.646526,1600,892.781664
-75.37717,1600,984.767805
-66.488812,1600,1076.814605
-67.5069,1600,1170.837169
-62.141587,1600,1256.151953
-61.186586,1600,1346.529566
-48.344686,1600,1425.277866
-48.201855,1600,1504.290336
-123.547822,291,1515.648861
-32.884437,1600,1612.372121
-43.438442,1600,1725.624144
-80.947297,1600,1810.948242
-111.95197,57,1814.180401
-119.383231,85,1818.803025
-118.632117,95,1823.829803
-44.870803,1600,1922.375846
-48.268891,1600,2023.518017
-45.929657,1600,2125.354384
-127.697187,119,2132.428449
-33.990809,1600,2226.276333
-39.239795,1600,2323.018658
-50.593874,1600,2409.70448
-99.893963,1600,2514.285509
-120.975168,1600,2608.45848
-49.737979,1600,2701.176962
-35.916715,1600,2798.339521
-42.93751,1600,2902.720558
-30.854452,1600,2999.877107
-35.059514,1600,3108.320769
-42.475326,1600,3207.880919
-33.023454,1600,3307.603199
-31.866804,1600,3411.384279
-33.645732,1600,3512.592118
-32.119101,1600,3607.429583
-41.871537,1600,3704.260485
-33.075373,1600,3805.885594
-30.389993,1600,3908.752893
-29.401546,1600,4010.039865
-28.542571,1600,4101.857394
-28.871393,1600,4198.956886
-33.212917,1600,4297.8618
-28.171032,1600,4395.362862
-25.191654,1600,4487.634148
-23.951177,1600,4576.278838
-21.156003,1600,4660.271587
-24.165955,1600,4739.09853
-25.596143,1600,4819.991006
-112.867606,1600,4912.152272
-69.080771,1600,4998.168851
-28.95548,1600,5089.177847
-26.702454,1600,5182.687437
-29.799317,1600,5264.617571
-34.934962,1600,5350.486911
-101.938009,84,5354.505743
-97.917674,65,5357.384379
-98.930279,75,5360.643685
-98.887346,68,5363.555434
-97.640338,67,5367.849888
-99.258604,58,5371.053963
-99.618242,65,5374.554932
-99.270379,94,5378.902071
-74.940139,1600,5443.381996
-117.036723,72,5445.577098
-100.391758,75,5449.595011
-25.932305,1600,5554.409281
-28.590584,1600,5659.124855
-30.167358,1600,5762.613606
-27.377096,1600,5849.768804
-27.747852,1600,5939.054058
-26.183172,1600,6036.061361
-21.613027,1600,6148.140867
-25.441864,1600,6237.694913
-26.938963,1600,6330.764982
-19.435404,1600,6434.479311
-20.400474,1600,6527.232487
-21.180238,1600,6614.806239
-23.173677,1600,6708.14834
-30.820503,1600,6808.368156
