#{"t_start": 1704375377.8793752, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-337.979562,94,0.137135
-181.70694,131,0.18133
-193.194037,107,0.215075
-64.914958,80,0.239345
-79.237482,71,0.260375
-203.327566,86,0.288221
-129.378574,98,0.321062
-247.256205,134,0.365711
-57.321539,92,0.394206
-174.144374,102,0.42747
-452.970689,100,0.458606
-153.571747,78,0.482483
-363.029508,134,0.525875
-277.583932,97,0.555943
-347.222102,105,1.587703
-83.261882,121,1.628228
-46.625215,114,1.664383
-371.684916,109,1.7004
-277.401832,96,1.729895
-160.55717,96,1.760078
-325.195198,113,1.794795
-63.145694,72,1.816206
-125.501124,137,1.859704
-150.988122,102,1.889716
3.873136,72,1.911257
-199.69186,84,1.937257
-139.775318,139,1.984469
-217.217457,137,2.031511
-103.192798,147,3.021208
-174.056878,82,3.046577
-73.639748,126,3.087548
-314.625319,89,3.115024
-441.781438,90,3.142492
-308.553491,99,3.173451
-68.986047,84,3.199043
-224.832732,64,3.217975
-96.946279,103,3.250317
-274.026011,93,3.276978
-390.64014,84,3.302035
-383.332736,146,3.351938
-171.464102,116,3.387675
-207.98197,94,3.417182
-237.220398,124,3.45594
-72.619381,145,4.337912
42.047446,99,4.369237
-280.826908,92,4.397831
-191.58058,72,4.418582
-204.847023,82,4.443405
-356.909365,114,4.480074
-223.979557,111,4.516731
-487.984271,99,4.554779
-343.07963,105,4.586713
-237.579735,69,4.606347
-92.110124,97,4.636945
-313.831119,104,4.668027
-88.770971,88,4.693804
-107.428478,158,4.749794
-163.84979,79,4.773593
-96.005386,107,5.443842
-269.117104,96,5.473843
-435.209723,107,5.507261
-338.085345,148,5.560666
-139.160989,163,5.618932
-101.834202,162,5.678312
-265.503499,85,5.706466
-107.011339,75,5.727475
-130.1845,117,5.764683
-231.418817,104,5.7974
-86.269975,75,5.818705
-283.892972,100,5.848674
-111.662463,130,5.891493
-104.532421,111,6.87392
-280.790395,80,6.896905
-100.83062,151,6.950764
-349.713705,118,6.988476
-375.864781,110,7.023149
27.535075,80,7.047737
-133.415513,120,7.084445
-358.832349,85,7.109397
-222.341615,117,7.144483
-97.521554,73,7.16746
-320.360883,115,7.201785
-77.902824,70,7.223008
-320.207735,118,7.261122
-183.974897,97,7.291663
-188.351072,100,7.322958
-32.184604,83,8.263397
-91.437292,83,8.289247
-216.297245,68,8.308839
-344.198081,115,8.34577
-390.038014,175,8.409951
-173.610517,89,8.437031
-34.043658,85,8.462366
-72.528493,85,8.488326
-175.243861,127,8.529544
-297.692979,102,8.561285
-176.19066,97,9.918036
-592.167124,161,12.053849
-534.299571,170,14.023219
-352.978804,161,16.631527
-307.304103,164,18.537521
-230.818613,141,20.176221
-148.313908,103,21.361937
-801.807951,197,23.655324
-118.724512,115,24.97429
-412.942657,205,27.341647
-224.272518,103,28.519336
-95.727346,114,29.818947
-55.669996,160,31.65793
-151.874031,306,35.78505
-115.186913,99,36.910345
-286.548705,184,39.022844
-77.997105,104,40.206603
-109.347998,135,41.748471
-226.744023,137,43.309784
-64.990626,87,44.299354
-100.431585,160,46.125571
-98.366771,145,47.786829
-31.95074,77,48.665796
-59.897066,169,50.593457
-47.901113,94,52.379798
-86.850798,117,53.720489
-77.315092,124,55.143637
-270.299672,117,56.484751
-53.544021,96,57.576629
31.568281,1000,72.184834
-42.60732,118,73.546784
-1.353466,147,75.236812
41.479393,126,76.679757
-45.821154,200,78.976192
-12.543917,186,81.122233
-56.070028,137,82.700722
-27.724872,136,84.248843
8.254651,188,86.422456
-34.183081,181,88.507678
109.045701,1000,105.532949
15.66353,1000,121.059994
136.362417,1000,133.627764
61.542894,179,140.180603
119.845011,1000,155.646069
21.031184,289,159.806595
23.700259,210,166.550589
-264.850903,707,177.10342
4.478957,231,180.383129
119.846427,1000,201.301001
133.077809,1000,223.66624
-178.772513,720,234.595538
125.12363,1000,255.309127
115.260644,1000,268.023797
-18.266513,316,280.320221
-36.48569,387,284.955328
156.986108,1000,297.12469
89.330436,1000,321.626471
21.743067,1000,346.968176
-95.568905,1000,360.961337
15.592004,1000,389.792368
-119.105211,1000,414.102217
78.596403,1000,426.951868
46.343635,1000,453.933551
-21.556954,1000,483.841386
221.600265,995,496.706102
220.373399,829,520.020379
76.557337,1000,548.779812
39.783234,1000,561.065825
195.672668,888,588.574528
249.122306,490,595.909847
