#{"t_start": 1704375379.8354445, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-177.843234,124,0.486151
-111.910634,187,0.565667
-80.941212,72,0.586364
-112.644509,89,0.61442
-81.471357,98,0.645284
-396.58671,115,0.681216
-204.99202,70,0.701687
-89.979458,99,0.732928
-222.004718,96,0.763727
-317.411952,86,0.790372
-396.542946,86,0.81801
-406.773107,128,0.860916
-408.206861,124,0.900837
-298.631765,96,0.931281
-601.010058,108,1.450364
-352.927447,148,1.503681
-213.318519,139,1.550108
-330.614202,90,1.57802
-225.46374,90,1.604824
-317.544126,112,1.638922
-261.129539,172,1.704067
-122.564222,67,1.723941
-370.843968,90,1.753334
-174.639132,128,1.793719
-232.083645,143,1.842477
-343.771323,95,1.872521
-36.073197,98,1.90339
-605.493007,117,2.882981
-115.400926,169,2.945243
-120.068551,142,2.993036
-146.446254,122,3.033243
-300.136843,76,3.056221
-229.220623,117,3.093467
-174.405894,93,3.122026
-222.880565,89,3.149275
-130.105812,123,3.1889
-21.818191,87,3.217866
-110.152453,87,3.246253
-89.752693,90,3.273683
-336.660332,86,3.3007
-114.323842,112,3.337717
-336.406117,105,4.114668
-348.90549,98,4.145367
-273.226606,97,4.175189
-145.369259,167,4.236448
-289.977039,104,4.270773
-357.1822,79,4.293919
-202.011144,93,4.322074
-160.442155,91,4.349636
-201.004974,97,4.380663
-187.730456,126,4.425566
-362.488974,91,4.453281
-317.965411,109,4.48543
-363.670046,99,4.518193
-46.453157,79,4.542329
-372.299194,105,4.576541
-314.437575,546,5.773452
-154.583076,103,5.806334
-72.200586,87,5.832001
-8.741812,92,5.86082
-343.106507,122,5.900046
-230.50478,113,5.937835
-89.746745,105,5.970463
-243.833385,108,6.004662
-277.698162,106,6.037147
-42.152437,150,6.962751
-245.89626,107,6.996351
-15.544468,105,7.031363
-35.611285,98,7.063345
-182.4148,73,7.08601
-83.841626,93,7.115246
-376.100586,80,7.139999
-311.187786,73,7.161927
-22.844791,85,7.187916
-272.515319,103,7.220009
-357.579604,96,7.249921
-254.659098,145,7.300622
-58.472185,77,7.324062
-122.169115,123,7.365331
-74.640164,84,7.391053
-214.359991,105,7.423951
-123.471833,90,7.937182
-59.292994,79,7.962457
-242.622099,952,24.347157
-396.516219,117,40.650546
-438.704165,93,53.607924
-416.239965,86,65.588766
-306.066805,110,81.25832
-99.939527,122,97.111721
-70.456316,81,107.624959
-391.887151,181,130.997872
-416.246479,152,148.218692
-85.790924,73,156.502365
-135.74152,108,167.620659
-168.099613,102,177.828643
-157.366242,77,185.409955
-302.319982,121,196.960223
-0.780016,85,203.613776
-35.569712,176,216.651491
-162.632361,118,225.411506
-64.591939,87,231.85809
-67.657142,114,240.900694
-9.758726,116,249.48031
-52.984826,98,256.707124
-220.282546,208,272.153134
-49.042097,101,279.620724
-55.905651,135,289.621352
-158.509978,128,299.094254
-87.424573,115,307.595128
-35.165605,139,317.89791
-55.417218,159,329.690389
-58.78936,128,339.174372
-61.083197,131,348.609425
-67.157129,134,356.113143
-39.095704,205,367.649584
-42.440166,165,376.91987
-92.521946,180,387.028208
8.784456,182,397.33019
-49.308006,225,410.011914
17.416718,252,424.215656
-68.960894,251,439.76749
-28.115904,199,450.395187
-17.631092,166,459.125629
32.9977,176,468.244772
-44.37322,187,477.9842
-1.329057,182,487.486634
115.197094,1000,546.863139
40.289916,213,559.27141
-13.68354,369,581.128668
43.635569,279,597.008456
39.460366,1000,649.511551
8.375502,1000,699.77813
-111.656489,545,722.878565
17.676146,1000,776.197632
-80.484004,575,796.602412
3.965227,1000,849.777909
-206.654579,603,873.43414
16.874432,1000,907.933151
19.198328,1000,934.04329
-111.183259,404,940.173331
19.313133,1000,969.235375
-0.301504,1000,985.237473
-51.704449,1000,1020.476493
30.432949,1000,1062.996793
48.036443,1000,1090.966078
23.040198,1000,1131.34199
-13.712872,1000,1157.998185
19.980442,1000,1195.847836
48.465049,1000,1225.412844
-75.27735,1000,1249.876516
112.759436,1000,1268.399228
38.130049,1000,1291.637967
-19.065686,1000,1313.890227
166.599178,1000,1332.658796
261.225131,795,1358.888147
147.401139,1000,1397.384597
161.204928,799,1419.33169
195.949156,913,1442.341938
-40.328547,1000,1457.731637
219.64945,787,1472.900497
-49.424642,1000,1488.059346
227.312801,404,1498.090839
-37.969831,1000,1513.555327
252.287379,280,1521.203469
225.829048,336,1526.173398
238.504426,337,1531.14878
25.858544,187,1533.844944
166.455163,654,1548.322568
-14.618586,220,1551.506655
240.657221,306,1555.996486
208.214367,950,1575.083353
202.755895,459,1580.497897
216.255899,513,1586.744011
230.816972,315,1590.352479
-30.538772,290,1599.896089
234.409768,284,1603.164948
245.963675,527,1609.57821
184.210449,369,1613.949291
-4.474511,249,1620.362281
223.929323,336,1624.289207
206.597067,495,1630.050503
214.909938,338,1634.018312
231.556144,329,1644.354331
223.096314,480,1657.024007
224.297625,282,1663.982998
253.196732,370,1673.547161
248.154462,391,1688.195943
-47.394822,1000,1709.668025
143.000029,620,1723.423089
198.009125,351,1728.63977
83.437089,1000,1750.352192
275.698661,289,1754.576158
219.205155,264,1758.423811
228.769856,321,1763.174572
234.234525,346,1768.282585
229.109053,318,1779.396225
248.476887,431,1785.785038
208.958321,831,1800.006041
178.394456,628,1817.600602
222.283315,279,1822.913294
245.384241,376,1830.145765
213.068262,457,1844.02456
242.361745,346,1850.678946
245.049764,360,1857.628517
-3.973076,280,1862.940195
283.086384,326,1869.193114
219.792059,360,1881.491809
232.015803,393,1889.048164
217.886463,378,1896.292845
303.731318,419,1904.32516
236.00164,437,1918.734546
250.001518,330,1924.272741
241.52184,343,1929.431771
214.286658,303,1933.968845
238.002004,343,1944.19438
200.15471,331,1949.171717
283.749839,416,1955.417065
225.40686,379,1961.134383
232.997147,369,1980.91304
168.306025,428,2002.334615
260.898269,386,2008.197976
213.329807,572,2022.549257
-122.953208,1000,2038.205848
190.430535,616,2057.364363
259.36094,434,2063.90343
203.296484,398,2069.978925
179.361981,440,2076.767577
-16.561514,217,2086.124241
180.252863,446,2093.037087
137.178858,864,2106.14352
270.042066,520,2120.607146
175.875308,412,2126.968469
166.888456,636,2145.616666
211.179179,473,2163.159717
-136.552885,456,2169.999752
244.952655,319,2174.796605
241.729775,401,2186.645532
170.735803,360,2192.095981
254.558475,297,2196.602023
215.79232,562,2205.258667
176.473558,431,2220.576047
207.946185,407,2226.75017
249.74787,289,2231.097256
306.27266,365,2236.637496
217.868774,298,2253.909495
256.896146,299,2268.527542
101.544423,952,2316.454796
274.804145,342,2333.977491
272.882565,499,2341.69442
248.491352,286,2345.996096
223.871373,304,2350.584118
227.974569,274,2358.466559
279.897089,230,2361.906437
255.970197,223,2365.233483
266.005943,195,2368.148672
247.665278,232,2371.589398
284.781485,271,2375.603294
286.926037,299,2383.299778
277.846807,276,2387.414321
253.486229,265,2391.365764
274.886577,237,2394.89991
302.684564,245,2398.55051
173.784515,549,2415.383108
208.499766,350,2420.582676
289.351824,230,2423.983915
283.785702,220,2427.217571
297.711322,204,2430.221567
279.998958,300,2434.676197
258.980395,199,2439.749413
277.263831,217,2442.976456
290.284777,243,2446.582884
166.848843,864,2461.962176
259.795593,208,2465.036339
200.714035,345,2470.231206
240.193136,195,2473.121175
291.627675,205,2476.163763
262.361582,204,2479.185225
277.804596,262,2483.078087
257.697539,208,2488.790509
237.134388,199,2491.724092
243.583759,215,2494.910537
276.129052,178,2497.55585
270.388369,177,2500.187241
299.570741,222,2503.483151
246.970397,196,2506.370553
290.236703,245,2518.542973
261.731043,182,2522.567542
284.205322,198,2525.473289
264.858565,177,2528.069885
276.096481,262,2531.945524
247.953655,298,2536.38092
273.597837,179,2539.006217
70.762405,183,2544.222929
233.48402,203,2547.238289
273.180259,177,2549.853184
284.962221,218,2553.107016
256.420295,213,2556.264552
268.163764,276,2560.39322
38.320208,164,2562.823855
240.034907,217,2569.830229
261.967688,325,2574.693618
253.834561,209,2577.787053
280.713768,371,2583.347053
228.608204,219,2586.593024
249.625091,260,2590.471709
234.199868,219,2600.513573
263.870783,232,2603.963057
287.259356,343,2609.151465
274.174674,197,2612.087075
305.672512,229,2615.499895
62.700977,148,2617.694452
235.3112,238,2621.231956
221.920998,923,2645.628639
78.494654,1000,2672.213845
292.539,293,2678.868145
282.877871,402,2688.069036
230.089421,346,2696.090011
272.197153,336,2706.574971
257.595451,272,2712.823723
256.443188,218,2717.176128
283.523738,387,2722.973107
254.686373,246,2726.663104
289.122459,500,2737.20189
137.526478,887,2750.749104
277.429286,251,2757.387626
275.108047,231,2760.844051
285.277802,206,2763.905639
259.477398,296,2768.384447
275.72626,240,2771.960562
291.015833,497,2782.563843
286.242941,250,2786.29037
138.39151,1000,2801.55682
261.038524,240,2808.195996
269.209105,248,2811.894984
279.936219,631,2821.655327
242.683278,250,2825.383366
270.597946,255,2829.181456
236.984436,251,2835.974033
241.956156,319,2840.773991
238.469037,253,2844.569738
272.727093,212,2847.735143
244.861192,267,2851.710858
264.364843,282,2855.947495
267.227363,293,2876.678783
284.579181,338,2884.396281
268.166922,261,2888.31386
245.129597,228,2891.716163
250.710485,279,2895.907138
285.034718,255,2903.808282
212.895512,257,2907.679671
267.616981,322,2912.5801
139.288472,1000,2930.868329
272.254296,312,2935.595293
120.427652,1000,2956.716798
297.761695,337,2961.834575
270.520888,270,2965.886435
293.026837,307,2970.548883
250.509331,232,2974.020383
267.380888,327,2981.610065
236.158909,396,2987.618785
263.472232,326,2992.525499
296.7402,385,2998.34487
208.005851,444,3008.415717
270.471654,291,3012.821738
243.560141,251,3016.59533
228.29857,229,3020.024268
255.518457,253,3023.82376
111.783737,1000,3043.020114
242.567983,223,3046.355214
237.619062,209,3049.458492
198.397358,994,3067.569861
-93.314971,331,3072.456214
222.745018,253,3076.181587
245.652468,210,3079.25664
244.53849,276,3085.827501
230.73772,346,3090.997507
204.8487,418,3097.205233
236.471259,248,3100.824395
268.45459,433,3109.697826
261.577949,242,3113.253956
189.878914,517,3120.994084
241.835683,236,3124.455676
255.406755,236,3127.904323
310.265973,393,3136.310155
234.705468,275,3140.382051
201.020449,528,3148.524825
245.068931,280,3152.669396
261.733639,286,3159.563477
229.339467,309,3164.108029
244.551548,222,3167.35751
43.534524,253,3171.100799
230.894059,262,3174.922832
234.334716,263,3178.758498
-40.495848,1000,3196.794046
264.089115,248,3200.405979
245.534417,258,3204.181625
292.293273,342,3212.19296
240.696375,204,3215.189939
262.564909,290,3219.539745
245.689288,251,3223.218196
247.942068,235,3226.654177
222.865499,275,3230.687751
245.361827,363,3239.267765
271.435134,324,3244.099231
262.322201,217,3247.294729
250.224407,249,3250.955987
250.769484,277,3255.028238
265.751164,544,3266.543376
223.665003,242,3271.138167
256.748903,224,3275.410835
204.386153,323,3281.589958
246.937409,260,3286.547565
250.374807,236,3300.592201
231.315218,351,3319.620532
236.712143,242,3332.628707
259.08759,252,3346.134669
274.495402,383,3366.74396
230.615426,297,3386.554438
246.349423,302,3403.056504
255.014127,340,3421.5273
215.668443,259,3435.521779
261.316465,276,3450.339929
298.632012,341,3472.658083
258.414538,262,3487.128393
260.059519,316,3504.840209
251.113059,232,3517.615598
257.793697,231,3530.324775
20.788012,210,3541.780463
259.357962,235,3558.729081
255.137106,288,3574.685108
272.193595,307,3591.931221
213.107536,379,3606.21977
213.716195,356,3615.304275
221.119724,255,3620.149282
252.469134,238,3624.67684
224.315718,245,3629.328387
215.779303,312,3635.281503
226.06526,322,3641.468486
258.263462,355,3652.933778
248.015937,890,3670.279155
231.942159,250,3675.016109
230.19866,263,3689.248811
281.395075,222,3701.476213
167.10709,1000,3745.147586
164.784883,457,3769.605877
256.126712,233,3782.382409
239.605375,244,3795.800404
258.119344,231,3808.452239
176.16566,720,3851.482707
213.328288,318,3857.513896
267.050081,233,3861.920621
227.128139,273,3867.121946
284.817447,258,3871.977706
-140.546331,271,3879.599548
261.515046,256,3884.462766
258.792616,243,3889.049956
268.881303,261,3894.007942
201.089176,395,3901.590183
-142.030944,372,3910.852076
247.968378,273,3916.038704
276.117415,226,3920.313059
217.152199,310,3926.247508
155.36931,813,3946.668238
236.192516,297,3951.358701
226.933565,542,3959.820083
150.178551,759,3978.23471
249.783907,238,3981.794767
-98.317123,785,3993.745626
221.687034,330,4001.186004
261.466762,262,4005.149101
232.710253,399,4011.335718
240.342375,488,4018.746103
268.885266,216,4024.71029
227.079439,472,4032.15108
293.68094,219,4035.426864
292.651222,291,4039.838481
214.478533,385,4045.640738
224.99918,257,4051.352581
266.905884,225,4054.725125
296.374472,244,4058.364003
254.051274,244,4062.03548
230.534438,280,4066.271994
212.827102,374,4074.556604
196.479419,463,4081.773179
262.840031,322,4086.738564
300.108256,311,4091.401543
