#{"t_start": 1707878868.259056, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,0.749988
-100.259652,73,0.777789
-116.700649,78,0.805097
-92.186772,1600,1.327167
-101.890562,100,1.361977
-101.011971,1600,1.884945
-78.576327,1600,2.411916
-113.689507,57,2.432501
-113.503877,67,2.45563
-108.296578,48,2.473524
-112.743739,48,2.491653
-117.652578,71,2.516284
-99.491715,126,2.559911
-100.772134,74,2.585695
-101.106839,53,2.605091
-100.597213,79,2.633111
-102.152501,85,2.661902
-123.593901,120,2.703007
-121.438777,107,2.738904
-89.43426,1600,3.263875
-100.063141,75,3.291362
-81.929231,1600,14.810321
-118.295031,84,16.482221
-114.480539,65,17.330042
-107.909826,93,18.20401
-128.962491,154,19.926899
-133.941987,656,29.277282
-105.235882,79,30.144356
-101.77032,77,31.008223
-100.929615,72,31.864223
-100.413957,81,32.731189
-94.940553,166,35.263955
-134.41055,179,37.82446
-120.746366,92,38.701925
-109.557808,76,39.563953
-110.328627,84,41.230381
-125.581355,109,42.116693
-103.361288,82,43.787684
-104.981797,71,44.644435
-79.032018,1600,66.024574
-107.083234,1600,87.276627
-68.961364,1600,108.609401
-82.390735,1600,129.976306
-98.193458,68,130.839595
-102.695255,1600,155.801094
-76.004434,1600,177.650887
-49.134954,1600,200.675955
-55.47036,1600,220.733722
-41.299661,1600,240.954232
-51.954109,1600,264.678972
-61.183739,1600,288.310817
-57.635861,1600,311.979604
-51.387794,1600,335.590271
-69.979621,1600,359.197203
-101.778691,93,360.169186
-72.699327,1600,383.786637
-55.24121,1600,407.357397
-50.672225,1600,434.06658
-46.897633,1600,454.183559
-107.308382,48,454.971597
-107.066525,47,455.760004
-107.61919,48,456.546371
-108.344827,50,456.585068
-112.01179,63,457.383142
-111.17363,59,458.179765
-114.091794,71,458.984146
-111.977254,65,459.783612
-110.514729,55,460.576278
-111.43208,57,461.371677
-111.266201,57,462.166427
-107.640371,44,462.954631
-108.070173,44,462.988866
-136.605556,321,466.964868
-114.984228,65,467.764701
-128.239658,116,469.349222
-129.331345,171,471.724138
-126.213238,132,473.319095
-73.168914,1600,493.189294
-97.09976,1600,513.510805
-46.050196,1600,533.473553
-107.327449,41,534.260863
-108.710479,44,534.295306
-115.880992,69,535.104201
-110.903368,52,535.90092
-113.21797,55,536.692539
-116.139605,63,537.490378
-114.429207,59,538.287824
-115.472937,68,539.092045
-115.399103,69,539.896839
-117.670636,76,540.706945
-115.757025,67,541.510356
-111.023004,53,542.307005
-114.597951,52,543.099648
-114.276874,53,543.895069
-71.415392,1600,563.96
-69.981332,1600,583.96425
-58.88103,1600,604.718002
-56.90745,1600,628.682392
-41.691626,1600,652.693944
-115.653208,171,655.546599
-151.278583,1600,679.568711
-75.932371,1600,708.85494
-123.729568,104,709.850915
-112.403981,56,710.804338
-118.566228,78,711.775288
-110.581322,58,712.73637
-111.052496,58,713.690495
-106.341049,45,714.634118
-111.897446,61,715.593955
-63.987614,1600,739.53705
-69.541475,1600,763.520927
-54.346481,1600,787.439171
-113.554983,57,788.395527
-115.880171,59,789.352357
-111.589397,43,789.394268
-109.021063,77,790.368032
-107.703915,83,792.244383
-124.939329,131,794.168114
-109.702178,54,795.118843
-115.148634,82,796.096198
-110.313937,65,797.060365
-101.576036,63,798.023523
-98.732077,74,798.99399
-100.113179,68,799.958731
-110.016032,50,800.905661
-108.920211,36,800.941009
-115.558769,44,801.88177
-112.444095,37,802.821209
-109.194805,64,803.77855
-106.634419,133,805.698664
-109.150233,119,807.60823
-106.273633,1600,831.574781
-111.437494,114,832.573583
-105.939126,73,834.447768
-107.087065,80,835.423774
-102.576316,57,836.379111
-103.055124,63,837.33895
-105.760967,46,837.383347
-103.574773,112,839.291508
-101.525473,116,841.199327
-66.796302,1600,865.16266
-123.977293,74,866.134988
-45.721779,1600,890.239182
-41.358076,1600,914.395006
-129.649011,1600,938.683641
-104.408022,163,941.570754
-102.012761,73,942.555915
-101.834455,70,943.538578
-101.931008,79,944.530999
-101.572222,74,945.513911
-100.742369,79,947.426211
-100.348942,83,948.432432
-49.269729,1600,971.200243
-34.954926,1600,992.027728
-66.230858,1600,1018.337901
-49.250917,1600,1039.341679
-117.282847,100,1040.209146
-46.420721,1600,1061.264034
-65.12559,1600,1082.49914
-53.388099,1600,1103.644053
-50.909384,1600,1124.748082
-46.897802,1600,1146.038279
-49.936656,1600,1167.143257
-48.106838,1600,1188.267362
-48.187216,1600,1209.600768
-42.305622,1600,1230.999723
-33.822305,1600,1252.402018
-72.471668,1600,1279.017588
-36.382426,1600,1300.477942
-33.642602,1600,1321.966884
-38.692982,1600,1343.649786
-37.944617,1600,1364.999323
-40.950572,1600,1386.451118
-38.768224,1600,1407.99692
-37.207962,1600,1429.417965
-32.049502,1600,1450.863724
-36.028193,1600,1472.460823
-116.374462,70,1473.321584
-70.66313,1600,1494.646908
-77.382425,1600,1515.987523
-100.794866,82,1517.662548
-71.030135,1600,1539.129438
-116.343211,56,1545.291476
-109.137292,66,1546.151857
-54.185572,1600,1567.5552
-45.38619,1600,1588.991407
-83.267127,1600,1610.37083
-78.008697,1600,1631.765101
-119.992062,361,1636.080425
-38.338091,1600,1657.545828
-41.257794,1600,1678.919023
-38.801023,1600,1700.321327
-32.901833,1600,1721.796677
-106.833046,1600,1743.127895
-105.887986,1600,1764.451093
-45.59429,1600,1785.968251
-83.025004,1600,1807.354901
-55.196686,1600,1834.185859
-39.851086,1600,1855.67008
-35.270466,1600,1877.053889
-34.070729,1600,1898.487129
-26.452,1600,1920.026231
-34.512885,1600,1941.47437
-31.830448,1600,1962.950124
-62.740828,1600,1984.510806
-29.737608,1600,2006.015875
-28.158159,1600,2027.545827
-29.946129,1600,2049.189261
-49.634816,1600,2070.760526
-38.952285,1600,2097.761755
-32.42876,1600,2119.459084
-30.412882,1600,2140.993303
-28.186769,1600,2162.599834
-29.695817,1600,2184.450572
-33.560593,1600,2206.060012
-48.498482,1600,2227.627611
-43.718521,1600,2249.381319
-26.400184,1600,2270.990128
-31.947718,1600,2292.558459
-27.156246,1600,2314.272354
-53.367433,1600,2335.866142
-18.599967,1600,2357.47109
-24.242241,1600,2384.414457
-31.200882,1600,2406.047717
-33.56508,1600,2427.76058
