Episode,Weights
0,"[ 0.02033492  0.05507325 -0.17434508 -0.12250473 -0.20002694 -0.06852973
 -0.13063632  0.19654803  0.12607466  0.20785004 -0.1942166  -0.09910728
  0.20210083 -0.2051503  -0.08742439  0.0818496 ]"
10,"[ 0.02033492  0.05507325 -0.17434508 -0.12250473 -0.20002694 -0.06852973
 -0.13063632  0.19654803  0.12607466  0.20785004 -0.1942166  -0.09910728
  0.20210083 -0.2051503  -0.08742439  0.0818496 ]"
20,"[ 0.02033492  0.05507325 -0.17434508 -0.12250473 -0.20002694 -0.06852973
 -0.13063632  0.19654803  0.12607466  0.20785004 -0.1942166  -0.09910728
  0.20210083 -0.2051503  -0.08742439  0.0818496 ]"
30,"[-0.09778439  0.06303063 -0.11317256 -0.08148974 -0.25307706 -0.06372201
 -0.05503103  0.05658942  0.12240034  0.04905121 -0.00050054 -0.00589912
  0.1849619  -0.20697312  0.02958856  0.03168355]"
40,"[-0.09778439  0.06303063 -0.07586069 -0.07919218 -0.07213599 -0.07982172
 -0.0842066   0.0223553   0.12240034  0.04905121 -0.12657714 -0.04099382
 -0.08582437 -0.19520804 -0.06621459  0.03168355]"
