Episode,Weights
0,"[-0.15007289  0.12671421 -0.10492571  0.23041809  0.06961507  0.04589279
 -0.10203356  0.21521537 -0.07352306  0.11754685  0.23068762  0.09422434
  0.04271024 -0.06213289  0.02088769 -0.09421512]"
10,"[-0.15007289  0.12671421 -0.10492571  0.23041809  0.06961507  0.04589279
 -0.10203356  0.21521537 -0.07352306  0.11754685  0.23068762  0.09422434
  0.04271024 -0.06213289  0.02088769 -0.09421512]"
20,"[-0.15007289  0.12671421 -0.10492571  0.23041809  0.06961507  0.04589279
 -0.10203356  0.21521537 -0.07352306  0.11754685  0.23068762  0.09422434
  0.04271024 -0.06213289  0.02088769 -0.09421512]"
30,"[-0.06849256  0.10290502 -0.5199294   0.0737177   0.11311457 -0.00761628
 -0.053546    0.15250427 -0.0724336   0.04886216  0.08578352  0.03411748
  0.03838576 -0.00803661  0.01797904 -0.05255508]"
40,"[-0.06849256  0.10290502 -0.19269645 -0.22988859  0.02998149 -0.03684371
 -0.0327209   0.14355336 -0.0724336   0.04886216 -0.16923212  0.04483398
  0.12122033  0.18031679 -0.00710175 -0.05255508]"
