#{"t_start": 1707334663.3566198, "env_id": "BipedalWalker-v3"}
r,l,t
-101.484948,69,0.320874
-98.9398,91,0.373494
-76.811152,1600,0.971725
-86.985576,1600,1.49547
-109.559792,72,1.520861
-103.987822,89,1.550352
-82.671399,1600,2.079282
-104.72799,66,2.102585
-112.554071,58,2.123499
-118.802083,92,2.15565
-86.187792,1600,2.6816
-79.562633,1600,3.20398
-110.740834,60,3.225249
-113.595037,82,3.254383
-113.294311,70,3.278884
-98.725832,70,3.303689
-104.556096,55,3.323035
-103.364405,105,3.357526
-107.902635,36,3.371522
-101.656525,61,3.392838
-98.923098,90,3.424144
-111.380245,55,3.444373
-100.342255,95,3.476237
-102.069215,109,3.513619
-111.958056,62,3.535998
-100.625525,63,3.558322
-95.221124,1600,19.847049
-105.928786,149,21.449215
-102.279496,1600,41.309388
-109.205693,66,42.105499
-109.320881,55,42.887194
-105.387008,59,43.679682
-105.62157,53,44.466147
-104.643366,82,45.272634
-127.86351,125,46.868245
-137.417216,477,52.467717
-109.473486,815,62.79469
-112.818675,95,64.366414
-62.246451,1600,84.267135
-86.942095,1600,104.126525
-109.947745,108,104.956252
-113.057695,119,106.540616
-110.065645,86,107.345329
-179.584214,1450,125.587738
-104.284641,1600,151.04311
-66.604021,1600,170.932436
-84.281456,1600,190.887263
-126.078392,83,191.695858
-119.39502,224,194.916288
-105.484589,82,195.727754
-104.605288,66,196.531555
-107.740763,75,197.33685
-101.910223,155,199.693174
-100.787042,124,201.291401
-103.784038,135,202.892597
-101.915139,75,203.694711
-129.848969,131,205.290718
-103.714699,95,206.864126
-102.841141,138,208.458622
-105.014106,74,209.259847
-105.091269,63,210.0567
-104.380634,61,210.84943
-105.328641,60,211.641753
-107.187275,59,212.435985
-106.081178,84,213.249775
-102.441754,162,215.611292
-104.161406,52,215.651658
-109.350913,86,217.216222
-105.287095,60,218.01348
-106.774377,69,218.818838
-102.483075,76,219.628961
-103.245951,69,220.42818
-105.237812,73,221.23235
-105.139984,74,222.03777
-100.473403,96,223.603643
-145.987831,736,232.389691
-98.849042,201,234.786361
-80.705852,1600,254.721348
-79.005315,1600,274.662024
-93.716067,1600,294.56169
-112.901527,79,296.121004
-55.157308,1600,316.039897
-90.090975,1600,335.956053
-48.215017,1600,355.951521
-47.275201,1600,375.578651
-41.544159,1600,400.950861
-104.157327,1600,420.861124
-65.977015,1600,440.775116
-52.77495,1600,460.664922
-78.789193,1600,480.565031
-133.191208,471,486.165701
-72.212843,1600,506.139528
-107.680902,136,507.73667
-106.642211,139,509.338368
-86.085433,1600,529.232242
-40.006258,1600,549.154742
-134.360952,176,551.534405
-125.907953,776,561.133992
-116.444778,556,568.321741
-122.883081,176,570.701572
-54.465372,1600,590.638681
-52.589924,1600,610.533704
-107.438814,127,612.114841
-46.651203,1600,632.154018
-43.76687,1600,657.344191
-45.808576,1600,677.320066
-39.564113,1600,697.323209
-52.48205,1600,717.282216
-115.543581,114,718.117088
-41.147711,1600,738.055295
-37.745671,1600,758.036375
-39.710912,1600,778.034551
-44.288089,1600,798.027828
-36.13396,1600,818.133927
-39.346973,1600,838.274393
-36.208367,1600,858.214032
-39.20192,1600,878.494298
-32.548861,1600,904.393093
-105.08695,259,907.679373
-31.557058,1600,928.43866
-105.326406,488,935.074713
-16.010225,1600,955.90181
-40.51387,1600,976.653311
-21.770115,1600,997.572105
-17.762154,1600,1018.514367
11.197968,1600,1039.492755
-16.003869,1600,1060.576664
-18.001867,1600,1081.972713
-9.142158,1600,1103.06188
-19.10399,1600,1123.981357
-26.598373,1600,1145.239318
-28.44893,1600,1171.750691
-16.894948,1600,1193.120527
-73.940078,1600,1214.458495
-26.06987,1600,1235.817858
-38.689398,1600,1257.157192
-14.643966,1600,1278.552907
-11.265927,1600,1299.977158
-35.086946,1600,1321.435141
3.78272,1600,1342.919256
-109.735061,1600,1364.355755
-124.025139,1134,1379.710413
-184.059882,1514,1399.112982
-105.362294,50,1399.965128
-103.87046,63,1400.827481
-105.569116,54,1401.683924
-106.886111,85,1402.555907
-116.127361,135,1404.273786
-133.526689,146,1406.81092
-115.340071,66,1407.670331
-111.146137,39,1407.705682
-111.77001,36,1408.566351
-128.51948,138,1410.305213
-115.790168,44,1411.158333
-102.730746,61,1412.02071
-113.753541,40,1412.0517
-113.421469,44,1412.89678
-111.795152,43,1413.739841
-111.577919,43,1413.772849
-110.254244,42,1414.620571
