#{"t_start": 1707334883.3119736, "env_id": "BipedalWalker-v3"}
r,l,t
-81.480078,1600,1.973471
-80.127907,1600,2.64027
-101.363673,58,2.660959
-75.667924,1600,3.323401
-111.10766,47,3.340911
-95.101843,1600,4.002237
-120.644025,109,4.039532
-109.899182,65,4.062383
-125.17957,109,4.099646
-98.048739,80,4.126609
-103.947827,86,4.156492
-84.679819,1600,4.818256
-114.377049,55,4.837874
-84.40867,1600,7.480962
-92.797135,1600,28.326676
-115.455288,71,28.971215
-113.682408,41,29.58864
-113.695513,64,30.227164
-112.722532,54,31.193825
-119.542914,63,31.830293
-112.488461,78,32.482272
-108.379421,93,33.149809
-108.511967,88,34.391033
-142.471621,307,36.987583
-183.078118,905,46.893675
-132.117758,153,48.204266
-127.779277,1600,69.766998
-118.868548,1600,86.494842
-130.81672,82,87.156329
-112.470051,1600,108.759188
-100.972992,1600,130.367872
-92.993456,1600,151.913887
-76.287962,1600,172.317384
-99.891536,80,172.970868
-105.494928,1600,194.609555
-80.813899,1600,216.20859
-79.31536,1600,237.724213
-118.577765,74,238.957956
-116.070435,66,239.600469
-114.668678,67,240.285546
-64.25333,1600,258.324118
-78.647088,1600,279.02521
-72.014167,1600,300.763513
-58.504843,1600,322.462392
-72.38325,1600,343.056214
-81.805962,1600,364.81053
-56.156202,1600,381.320856
-51.284881,1600,403.202823
-47.448677,1600,424.850596
-52.855819,1600,446.59234
-38.299643,1600,468.357993
-44.115343,1600,489.865704
-44.219702,1600,511.543728
-36.044727,1600,533.266684
-29.620355,1600,554.891239
-41.670091,1600,581.975654
-40.249341,1600,603.692794
-40.304134,1600,625.287453
-45.580969,1600,646.788417
-34.172101,1600,668.410953
-119.230768,437,672.90251
-32.081855,1600,694.516039
-33.662657,1600,716.095513
-33.110846,1600,737.809047
-41.503613,1600,759.534698
-41.477827,1600,781.198388
-31.767256,1600,808.49487
-26.308786,1600,827.727917
-100.949813,58,827.780527
-107.662192,84,829.02595
-32.188011,1600,850.664635
-96.601265,83,851.327976
-31.128632,1600,872.984772
-28.5108,1600,890.628659
-99.874197,107,891.906654
-101.045153,92,892.579335
-40.454567,1600,914.267394
-47.116371,1600,936.273759
-127.72358,105,937.559316
-88.339235,1600,959.419464
-32.013888,1600,981.602088
-33.647272,1600,1003.622613
-74.557171,1600,1031.198352
-104.749923,70,1031.863459
-105.588048,51,1032.51139
-57.618774,1600,1054.575759
-55.298186,1600,1076.557613
-37.759827,1600,1098.63787
-55.902371,1600,1120.631351
-38.504436,1600,1142.739698
-46.791545,1600,1164.632777
-39.53233,1600,1186.811694
-24.74007,1600,1208.81703
-46.40596,1600,1231.031414
-33.160886,1600,1253.037856
-37.67615,1600,1275.352408
-120.522549,82,1276.059255
-125.867313,92,1276.744839
-129.381171,108,1283.838019
-45.331356,1600,1305.85262
-49.200824,1600,1327.780718
-34.581375,1600,1349.811008
-58.586817,1600,1371.720159
-35.808022,1600,1393.648056
-31.596265,1600,1415.548208
-31.525742,1600,1437.497042
-44.537911,1600,1459.710325
-118.01765,1600,1481.756271
-48.292153,1600,1504.045731
-39.248796,1600,1526.121913
-46.394562,1600,1548.427781
-47.505138,1600,1570.751682
-29.603959,1600,1592.78081
-25.871911,1600,1620.457023
-25.979587,1600,1642.41029
-29.242342,1600,1664.501505
-29.300357,1600,1686.458833
-33.283694,1600,1708.680936
-26.737684,1600,1730.765534
-30.658757,1600,1752.725216
-56.0357,1600,1774.655781
-26.112472,1600,1796.70045
-26.758361,1600,1818.73115
-41.109099,1600,1840.717649
-27.868558,1600,1862.98897
-35.898246,1600,1885.138093
-34.107051,1600,1907.09049
-40.09108,1600,1929.268086
-29.550963,1600,1957.050889
-34.48999,1600,1979.050307
-32.161944,1600,2001.053849
-26.764529,1600,2023.366537
-39.413015,1600,2045.382854
-44.2415,1600,2067.388311
-40.907564,1600,2089.56978
-32.754256,1600,2111.535693
-31.430663,1600,2133.626134
-32.129609,1600,2154.764098
-41.784261,1600,2177.147774
-38.846594,1600,2199.467685
-26.93122,1600,2221.577038
-28.422741,1600,2243.684652
-27.141881,1600,2265.78155
-25.808615,1600,2293.453769
-26.226864,1600,2315.470328
-28.01408,1600,2337.453752
-34.643137,1600,2359.440596
-29.558335,1600,2381.388219
-29.155636,1600,2403.427497
-35.509127,1600,2425.417293
-33.604316,1600,2447.469765
-29.55107,1600,2469.496439
-109.244985,186,2471.471705
-30.742445,1600,2490.439899
-35.921101,1600,2512.429871
-35.59003,1600,2534.414464
-33.62224,1600,2556.441769
-41.947247,1600,2583.924785
-38.359476,1600,2605.930905
-41.693697,1600,2627.887214
-40.851345,1600,2649.890943
-39.173133,1600,2673.681504
-26.271476,1600,2697.940092
-27.130448,1600,2722.225338
-30.982545,1600,2746.678909
-28.533664,1600,2770.900747
-27.56008,1600,2795.124456
-31.741795,1600,2819.324248
-26.714813,1600,2843.560893
-25.221036,1600,2867.768807
-25.438317,1600,2891.98606
-28.945393,1600,2916.313064
-36.963668,1600,2947.407509
-30.310205,1600,2971.718632
-35.538529,1600,2995.962764
-30.285071,1600,3020.179653
-34.913467,1600,3044.740236
-131.516416,78,3045.461628
-117.279617,47,3046.156977
-132.268656,130,3047.575404
-45.702761,1600,3065.764167
-29.337092,1600,3089.984986
-27.762248,1600,3114.248717
-50.587036,1600,3138.721527
-32.115054,1600,3163.110202
-38.599207,1600,3187.522809
-33.662878,1600,3211.861468
-36.916921,1600,3242.98006
-42.267639,1600,3267.393214
-25.612023,1600,3291.606043
-29.674467,1600,3315.815833
-31.006153,1600,3340.144454
-28.124807,1600,3358.161632
-51.465818,1600,3381.07788
-46.2079,1600,3405.190115
-54.341571,1600,3429.416594
-58.815636,1600,3453.577199
-52.339599,1600,3477.986446
-34.619383,1600,3502.38259
-35.745399,1600,3526.706853
-29.861297,1600,3551.011286
-28.904355,1600,3575.27286
-27.351285,1600,3606.151716
-36.12289,1600,3630.305178
-83.993809,1600,3648.210174
-110.12884,128,3649.625365
-108.647051,74,3650.343428
-108.883254,69,3651.059603
-115.090085,220,3653.851777
-121.407181,74,3654.569831
-118.784146,84,3655.297104
-108.869296,61,3656.005293
-129.697664,103,3657.397545
-108.779914,67,3658.108705
-108.958606,99,3658.850774
-126.27512,107,3660.245628
-127.182531,81,3660.970212
-106.518316,82,3662.342055
-108.598144,97,3663.428944
-110.775651,100,3664.824668
-107.66137,81,3665.551138
-108.944286,104,3666.295573
-101.32167,78,3667.670969
-98.831756,76,3668.389452
-106.13949,104,3669.787493
-107.204495,83,3670.513938
-97.106871,88,3671.244965
-107.299271,54,3671.946852
-101.750436,82,3672.671002
-133.999908,535,3679.013379
-112.88114,107,3680.450584
-105.752043,86,3681.832919
-103.828046,69,3682.549428
-104.645085,94,3683.288532
-121.012229,323,3686.834241
-121.826837,280,3690.342301
-112.422472,125,3691.758586
-172.039447,856,3705.168834
-97.922521,1600,3729.731874
-77.707974,1600,3753.820891
-69.870521,1600,3778.196094
-77.722037,1600,3802.524018
-51.079427,1600,3826.827008
-70.089222,1600,3851.087638
-71.828798,1600,3875.337208
-41.810903,1600,3899.451254
-34.892984,1600,3923.795711
-37.959061,1600,3948.090602
-44.261127,1600,3972.443711
-38.516606,1600,4003.218779
-40.268244,1600,4027.368599
-38.965559,1600,4051.894976
-41.277485,1600,4071.527929
-55.273625,1600,4095.837794
-54.037363,1600,4120.314062
-37.187174,1600,4144.728363
-45.919517,1600,4169.080578
-41.763451,1600,4193.408822
-34.788022,1600,4217.685831
-27.511315,1600,4241.918506
-32.445501,1600,4266.182996
-39.867614,1600,4290.399721
-32.024903,1600,4314.628669
-32.697005,1600,4338.800638
-30.517913,1600,4369.571032
-98.208645,1600,4389.040963
-74.191151,1600,4413.232624
-78.026996,1600,4437.421371
-83.333704,1600,4461.55206
-36.853753,1600,4485.850654
-32.00045,1600,4510.246945
-48.742057,1600,4534.485667
-57.035702,1600,4558.76555
-50.209911,1600,4583.146711
-25.760019,1600,4607.466356
-28.677944,1600,4631.882142
-35.19894,1600,4656.282054
-30.561051,1600,4680.691412
-32.747232,1600,4705.034643
-32.344235,1600,4735.814229
-33.971153,1600,4760.142816
-27.769664,1600,4784.409826
-31.627208,1600,4808.85499
-26.580344,1600,4833.100357
-34.226032,1600,4857.33437
-36.238762,1600,4881.597357
-31.536386,1600,4905.892253
-31.109975,1600,4930.127761
-29.925845,1600,4954.442241
-33.414868,1600,4979.091205
-29.345486,1600,5003.527628
-26.797965,1600,5027.83667
-54.560786,1600,5052.164589
-27.719644,1600,5076.51871
-35.952026,1600,5107.345984
-26.07608,1600,5131.601317
-25.435349,1600,5155.903626
-28.111925,1600,5180.183087
-25.307019,1600,5204.555609
-50.033692,1600,5228.848291
-31.39564,1600,5253.177666
-46.881616,1600,5277.554805
-29.195344,1600,5302.041986
-26.729877,1600,5326.229606
-24.956033,1600,5350.535018
-33.068107,1600,5374.995676
-27.608101,1600,5399.383326
-29.76758,1600,5423.740158
-28.26548,1600,5448.067738
-28.422575,1600,5478.89423
-33.205925,1600,5503.177865
-25.930863,1600,5527.400021
-33.07722,1600,5551.75644
-29.243531,1600,5575.929502
-25.020242,1600,5600.462936
-28.914733,1600,5624.721273
-24.828236,1600,5648.939883
-28.111444,1600,5673.524427
-29.790128,1600,5697.824233
-30.823849,1600,5722.214092
-36.195553,1600,5746.560203
-28.362026,1600,5770.953496
-23.931346,1600,5795.319476
-31.235892,1600,5819.599322
-29.572299,1600,5850.562571
-29.856479,1600,5874.89627
-34.048413,1600,5899.262267
-29.105665,1600,5923.679403
-27.602973,1600,5948.05952
-24.38208,1600,5972.421415
-26.004732,1600,5996.803669
-27.867375,1600,6021.145266
-29.23563,1600,6045.468557
-28.505925,1600,6069.658182
-35.518935,1600,6093.965635
-27.493293,1600,6118.229471
-35.85364,1600,6142.442427
-27.738591,1600,6166.855766
