#{"t_start": 1704388251.4488807, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-140.69693,115,0.287647
-252.878729,106,0.320765
-199.286897,96,0.351321
-191.884543,98,0.381138
-512.529737,97,0.412371
-424.513579,93,0.441987
-239.76644,135,0.492804
-81.638101,72,0.514127
-160.204081,155,0.566673
-287.57701,135,0.613919
-282.649205,96,0.643416
-385.60279,86,0.668674
-246.689015,90,0.694643
-337.411672,88,0.722109
-132.731685,67,1.390706
-66.89375,71,1.410834
-516.499801,91,1.439085
-475.209596,82,1.464818
-238.742993,106,1.497998
36.302876,104,1.527198
-132.938558,70,1.545419
-227.291721,130,1.585137
-198.850857,81,1.607045
-225.172775,114,1.642499
-417.94945,99,1.667965
-126.605026,93,1.692385
-105.787524,150,1.739459
-70.162637,78,1.760776
-447.65981,140,1.805416
-73.912254,98,2.580412
-369.747006,101,2.608007
-286.589662,162,2.657729
-108.290384,92,2.681421
-61.932792,102,2.709804
-103.58114,123,2.743711
-309.651199,117,2.77979
-236.119422,96,2.804823
-229.760222,73,2.823564
-389.93512,102,2.850113
-254.725936,133,2.891393
-217.156689,120,2.925183
-373.648066,127,2.960354
-153.0075,97,2.985181
-77.220349,107,3.817839
-149.537711,85,3.840313
-250.080494,95,3.864825
-144.085985,72,3.882533
-277.134775,99,3.910541
-192.272446,83,3.932803
-68.527386,100,3.95978
-255.504617,124,4.001566
-138.895725,74,4.021587
-273.159854,80,4.04276
-148.353546,85,4.064659
-243.660614,79,4.085327
-224.333022,110,4.115523
-250.28796,178,4.172261
-94.761792,69,4.189595
-244.01257,123,4.727713
-146.981899,95,4.752513
-280.659707,110,4.783827
-72.411967,92,4.810129
-59.788596,74,4.829665
-96.154749,116,4.86438
-267.359289,122,4.897616
-131.865477,123,4.936456
-428.670379,109,4.967007
-159.494943,111,4.996489
-526.805716,121,5.031784
-125.672663,156,5.077697
-250.079339,175,5.133311
-477.701833,121,5.862125
-40.115312,68,5.880228
-31.096086,173,5.936531
-283.715532,96,5.963852
-423.595624,94,5.988617
-225.750575,65,6.005332
-82.798446,143,6.046464
-187.341076,104,6.074287
-301.566544,83,6.095569
-158.281935,139,6.135682
-307.849487,97,6.162272
-121.911991,130,6.200222
-112.334283,100,6.225657
-57.76974,70,6.243566
-627.58311,140,7.42365
-283.953346,112,7.453567
-289.182838,102,7.482637
-32.249462,74,7.504135
-76.030593,81,7.52792
-287.998671,119,7.564756
-418.092707,91,7.58991
-323.454452,143,7.63945
-247.17712,126,7.678081
-71.28993,134,8.459735
-221.213172,128,10.064569
-219.140432,66,10.899778
-417.924829,158,12.889843
-298.895329,135,15.359427
-161.103931,68,16.212765
-401.236419,106,17.553962
-210.871693,99,18.796889
-297.0563,99,20.047723
-193.564756,114,21.480084
-127.658966,94,22.644207
-81.134904,146,24.446376
-174.547004,106,25.749417
-155.984929,58,26.459185
-105.280701,143,28.21197
-146.323183,109,29.546388
-93.029159,93,30.685245
-119.704976,117,32.132911
-253.958824,119,34.084971
-190.191816,125,35.62602
-106.657737,104,36.91427
-11.386477,181,39.162733
-79.984716,130,40.759948
-87.315683,102,42.01719
-79.479714,103,43.277752
-263.907662,106,44.577656
-235.019487,153,46.460473
-252.287901,190,48.832024
-277.95261,156,50.777331
-7.58571,99,52.008604
-73.291141,122,54.13467
-266.369699,170,56.229728
-188.287292,115,57.651659
-245.703268,106,58.951185
-132.135857,93,60.089165
-50.090865,198,62.566146
-219.156234,116,64.004789
-54.364811,134,65.664944
