#{"t_start": 1707344631.6505942, "env_id": "BipedalWalker-v3"}
r,l,t
-99.595425,75,0.125566
-103.299626,67,0.164993
-99.465372,59,0.199464
-102.922965,71,0.239172
-105.821982,56,0.270231
-96.988104,1600,1.38213
-123.405392,113,1.422295
-83.320018,1600,2.396621
-102.746041,67,2.42003
-85.927843,1600,3.4092
-99.229809,125,3.453772
-109.785396,63,3.477161
-98.054049,82,3.506791
-106.705514,60,3.527601
-78.190611,1600,4.466185
-105.063013,74,4.492216
-114.231724,78,4.519398
-117.732946,88,4.550152
-82.378573,1600,5.928666
-102.640813,73,5.955373
-106.271581,73,5.981155
-125.538772,125,6.022908
-79.819998,1600,23.345426
-104.350632,133,24.799915
-114.303821,74,25.53613
-104.328176,61,26.260717
-105.20942,1600,44.827942
-124.323453,91,45.587908
-103.559168,67,46.323129
-106.167461,61,47.054663
-105.352494,58,47.782803
-106.118025,47,48.499431
-111.626772,1600,67.112701
-106.437868,1600,85.640691
-76.295328,1600,104.371889
-123.675441,707,118.219447
-135.31176,343,121.907217
-137.44239,511,128.076713
-110.755868,145,129.563767
-110.089754,70,130.9845
-111.282188,1600,150.740982
-126.159642,91,151.502496
-111.102858,1600,175.660335
-99.635046,71,176.404204
-98.977364,97,177.851786
-65.733407,1600,202.129005
-91.822691,1600,226.357525
-77.189977,1600,247.299532
-91.105715,1600,271.475455
-97.005025,1600,295.693401
-78.563753,1600,319.943216
-91.971923,1600,338.626138
-119.155986,60,339.357703
-130.310535,879,354.757927
-93.397141,1600,378.938691
-169.586032,1006,396.535711
-112.694635,1600,420.602264
-104.743547,1600,444.674117
-65.026586,1600,468.765851
-51.031379,1600,492.882134
-43.242115,1600,517.009969
-56.481476,1600,541.069888
-89.215757,1600,563.223159
-84.648352,1600,584.066895
-53.32775,1600,602.955749
-108.508204,85,603.71152
-102.074984,61,604.445999
-86.537046,1600,634.583401
-49.708011,1600,658.718539
-54.322949,1600,682.86514
-113.99381,53,683.594858
-116.211578,65,684.332716
-113.20863,62,685.066797
-122.911184,75,685.808587
-107.413432,1600,709.948279
-82.491129,1600,734.154303
-43.510858,1600,758.503615
-123.623392,83,759.931125
-122.420044,85,760.685209
-114.586455,36,760.720485
-118.827225,60,761.451935
-120.955095,81,762.880603
-104.621743,87,763.63703
-123.62862,151,765.126724
-130.653305,140,767.769774
-126.084363,102,768.537156
-118.509714,57,769.267345
-118.92951,58,769.996125
-125.998984,112,771.448308
-124.093841,191,773.649157
-93.045496,1600,792.510382
-125.642632,98,793.278363
-103.972786,1600,812.095866
-156.503448,1060,825.001864
-103.858514,77,825.751601
-99.258879,120,827.209405
-101.255435,119,828.667172
-61.457075,1600,852.783539
-85.84813,1600,876.801826
-96.973081,1600,898.731497
-78.932215,1600,922.991521
-52.655785,1600,947.473394
-39.10248,1600,971.699563
-96.131337,130,973.17711
-40.420908,1600,1000.175982
-39.302355,1600,1018.985651
-116.467603,62,1019.732326
-117.288193,69,1020.483789
-124.659191,168,1022.014984
-49.927896,1600,1045.531719
-32.382592,1600,1067.910823
-56.005665,1600,1092.445672
-74.547932,1600,1117.005862
-40.96689,1600,1141.597954
-87.541457,1600,1161.005744
-67.13262,1600,1182.398559
-88.819452,1600,1205.96027
-46.608784,1600,1230.617594
-53.375881,1600,1251.237285
-121.94348,83,1256.376047
-61.955547,1600,1275.657313
-57.895843,1600,1300.225315
-53.593941,1600,1324.850292
-42.256062,1600,1348.384197
-120.07245,73,1349.14932
-122.882125,80,1349.923819
-131.681985,137,1351.444373
-42.192646,1600,1374.959442
-119.141818,75,1375.729008
-53.853239,1600,1400.311683
-89.528154,1600,1424.957031
-124.012238,92,1426.435821
-117.192224,60,1427.189914
-72.34816,1600,1446.359369
-66.990046,1600,1470.941517
-59.883389,1600,1500.276637
-61.982623,1600,1524.722361
-39.100209,1600,1549.314663
-42.134174,1600,1573.773496
-36.910155,1600,1596.214867
-42.522227,1600,1620.922028
-58.440526,1600,1645.36794
-55.053345,1600,1669.901706
-59.850998,1600,1694.400949
-62.346896,1600,1718.912142
-58.743078,1600,1743.446249
-49.300892,1600,1767.898262
-41.923536,1600,1792.666924
-104.209657,94,1793.447128
-40.574339,1600,1817.923415
-45.618091,1600,1848.361032
-40.088105,1600,1872.859259
-27.991159,1600,1897.334405
-56.845263,1600,1921.773375
-48.415811,1600,1946.355791
-47.413113,1600,1970.825734
-51.872626,1600,1992.06089
-37.818011,1600,2015.590243
-101.119329,294,2019.333074
-107.545612,446,2029.322464
-24.175489,1600,2053.894533
-39.943441,1600,2078.359891
-29.751082,1600,2102.760591
-44.293293,1600,2123.065882
-49.151299,1600,2147.48538
-55.870658,1600,2172.101084
-38.500045,1600,2191.245297
-52.183697,1600,2214.77922
-97.084589,1600,2239.252797
-102.353716,1600,2264.330975
-39.72262,1600,2289.399782
-41.769342,1600,2314.136796
-37.181425,1600,2339.232489
-21.406136,1600,2365.434769
-110.361927,1245,2387.960871
-35.630935,1600,2414.231032
-33.312863,1600,2443.706703
-18.004753,1600,2469.550267
-103.165974,1027,2490.026726
32.035949,1600,2519.853142
24.023249,1600,2546.168222
-65.960733,946,2564.233046
49.095336,1600,2588.645773
72.835338,1600,2613.083612
-89.491697,395,2617.593186
-82.383368,337,2626.437255
88.899375,1600,2652.031391
93.206348,1600,2678.769253
70.031807,1600,2704.495776
74.657631,1600,2730.293194
79.510076,1600,2756.050728
72.809132,1600,2782.858743
89.019242,1600,2808.496844
72.512779,1600,2834.054917
35.177448,1600,2859.639498
-91.080089,297,2862.721417
95.236752,1600,2888.488299
68.714865,1600,2914.031451
56.259263,1600,2946.487464
73.598094,1600,2974.534268
90.230494,1600,3000.200051
102.959542,1600,3025.936563
141.178431,1600,3052.678922
136.220721,1600,3082.169446
149.339397,1600,3109.891752
168.073596,1600,3135.365545
175.274958,1600,3161.015875
190.136427,1600,3186.695687
199.56395,1600,3212.069175
200.26378,1600,3237.888511
203.685649,1600,3262.425825
223.345192,1600,3288.196268
206.244777,1600,3314.00337
209.242102,1600,3350.276483
210.560073,1600,3375.294333
222.90261,1600,3401.101087
259.60529,1600,3426.613993
250.567712,1600,3452.390754
249.69309,1600,3478.20262
252.480864,1600,3507.469067
275.647974,1556,3533.429629
277.646706,1554,3558.26894
282.050647,1490,3581.667671
270.88501,1600,3608.119807
281.12081,1494,3631.583744
277.862071,1449,3655.340018
275.527752,1497,3678.58446
279.08764,1433,3701.577341
281.551758,1418,3724.088933
283.385319,1423,3746.022671
287.2246,1399,3768.68077
290.424373,1335,3790.169271
287.35431,1364,3811.714654
290.344828,1294,3826.95938
289.369335,1334,3848.405969
288.213895,1306,3869.905155
-10.686518,419,3877.047681
290.158773,1248,3892.261208
288.654156,1280,3912.73751
