#{"t_start": 1707877638.4423556, "env_id": "BipedalWalker-v3"}
r,l,t
-99.499717,74,0.188511
-101.506029,68,0.264142
-82.485619,1600,0.891513
-87.030401,1600,1.508081
-113.627422,68,1.537063
-103.856333,69,1.565497
-102.314415,88,1.601024
-99.878739,87,1.636
-100.862167,85,1.670215
-102.53525,84,1.704739
-78.600221,1600,2.322313
-90.29347,1600,2.939846
-82.527572,1600,3.557261
-83.525046,1600,7.022161
-111.791568,50,7.98166
-116.86617,80,8.971739
-113.885338,94,10.877436
-110.191008,49,10.925382
-113.105673,67,12.803648
-116.58952,78,13.784183
-114.972992,66,14.755025
-119.741982,99,15.753362
-116.726797,48,16.703603
-142.233566,197,19.601798
-116.695288,299,24.407267
-110.347507,50,25.363676
-107.329906,61,26.330033
-108.954618,85,27.314849
-107.262033,61,28.280489
-106.32883,80,29.262583
-107.656422,64,30.231088
-118.281611,88,31.22091
-106.167436,65,32.19117
-121.163472,64,33.160129
-134.649636,159,36.029872
-107.05115,67,36.998146
-102.905869,56,37.957487
-108.439158,63,38.923745
-127.960917,120,40.848942
-102.145211,63,41.814306
-101.160158,51,42.770498
-101.7345,86,43.756765
-100.557279,50,44.720587
-100.210373,55,45.686219
-106.905896,78,46.667028
-153.974859,838,59.189283
-107.167073,131,61.11856
-110.199115,1600,85.188026
-129.521491,129,87.117274
-71.907613,1600,111.232249
-120.647504,80,112.22188
-83.610771,1600,136.347699
-55.542015,1600,165.986105
-57.029232,1600,190.015245
-59.416925,1600,214.074833
-89.866278,1600,238.164822
-63.073699,1600,258.988412
-80.844341,1600,279.516029
-75.426318,1600,300.018142
-121.676106,75,300.852418
-133.586432,92,302.473474
-123.055006,57,303.293284
-77.467823,1600,323.82357
-79.099479,1600,344.397951
-123.283416,65,345.224757
-57.741097,1600,365.801643
-105.28954,54,366.619362
-112.099477,66,367.441683
-122.821073,73,368.272325
-105.591865,96,369.120413
-114.976564,147,370.786729
-74.132188,1600,391.335721
-109.268712,127,392.980783
-101.744143,88,394.593934
-100.962262,82,395.429724
-100.355645,74,396.261498
-99.732907,77,397.097397
-102.578672,85,398.712119
-124.352308,75,399.543512
-116.381028,52,400.36057
-104.377082,86,401.200495
-101.248244,84,402.04147
-107.073045,80,403.652275
-101.434592,61,404.471807
-99.832108,86,405.311503
-100.600036,96,406.162179
-61.834145,1600,426.760412
-123.75697,296,435.945967
-72.343756,1600,456.458828
-109.629186,44,457.270493
-114.2246,1600,477.828917
-86.166894,1600,498.374933
-65.663106,1600,518.965473
-131.415994,80,519.800004
-124.396817,64,520.62454
-144.409099,162,523.070163
-122.628158,43,523.102929
-122.808256,43,523.913317
-124.016394,43,524.722164
-123.627135,43,524.754709
-123.821578,43,525.569836
-124.016815,43,526.380447
-123.951833,43,526.413045
-123.591871,43,527.223751
-123.075099,43,528.032474
-123.075494,43,528.065067
-122.606291,43,528.876361
-123.653164,42,529.684295
-122.421373,43,529.716978
-122.612371,43,530.527025
-122.533392,44,531.334298
-121.676686,45,531.36841
-122.388197,44,532.178923
-95.997417,1600,552.756965
-129.299477,140,554.412965
-107.303484,83,556.026219
-143.368745,1600,576.635155
-116.576425,43,576.667799
-118.164285,45,577.477529
-121.730655,45,578.289784
-120.815689,45,578.324098
-123.113031,44,579.133713
-129.789281,198,581.60131
-112.326084,104,583.228301
-117.04445,40,583.258905
-111.881362,56,584.075036
-115.504059,101,585.699433
-116.306073,42,585.731501
-111.439661,58,586.549806
-62.744309,1600,607.12721
-131.995506,153,609.565066
-171.0379,657,617.810641
-65.078459,1600,638.328573
-76.053699,1600,658.736253
-55.908375,1600,679.141378
-54.363795,1600,704.705606
-54.505016,1600,725.110733
-66.634989,1600,745.469998
-170.587961,1076,759.285746
-122.551235,42,759.317612
-116.646317,111,760.932004
-120.332524,42,761.734317
-122.14065,43,762.536325
-121.748972,42,762.568232
-122.89066,42,763.369397
-121.960281,43,764.172596
-121.650924,45,764.206512
-114.767214,113,765.820887
-118.945851,40,766.622025
-121.153124,44,766.655319
-122.939801,44,767.464362
-121.542365,134,769.097007
-86.274672,1600,789.499865
-116.22342,169,791.926776
-103.634327,81,792.757809
-94.566007,1600,813.163812
-69.213059,1600,833.618848
-64.952719,1600,854.106867
-68.51085,1600,874.749785
-56.053538,1600,895.496164
-57.01584,1600,916.381881
-59.693998,1600,937.471339
-53.460793,1600,964.493286
-59.690278,1600,986.185293
-55.561555,1600,1007.835412
-58.868243,1600,1029.537782
-65.705008,1600,1051.292101
-55.15862,1600,1073.081652
-64.202539,1600,1094.931061
-56.690722,1600,1116.754997
-60.193206,1600,1138.636793
-57.937778,1600,1160.466466
-62.35236,1600,1182.335245
-96.434071,1600,1204.217563
-54.797597,1600,1226.173298
-52.124748,1600,1253.670827
-63.326026,1600,1275.82501
-80.81772,1600,1297.982128
-49.034575,1600,1320.132269
-52.01644,1600,1342.311435
-49.525165,1600,1364.488174
-50.795102,1600,1386.734699
-54.111247,1600,1409.059447
-52.693444,1600,1431.395292
-52.610135,1600,1453.627844
-60.940907,1600,1475.872536
-72.284852,1600,1498.102002
-65.944165,1600,1525.493187
-58.472051,1600,1547.694523
-59.816695,1600,1569.927937
-64.33292,1600,1592.18117
-47.765426,1600,1614.471915
-51.81669,1600,1636.78915
-99.563553,1600,1659.05887
-125.238205,1600,1681.353294
-45.891972,1600,1703.628872
-41.095779,1600,1725.890362
-50.609748,1600,1748.123478
-22.7862,1600,1770.336001
-14.854882,1600,1792.565703
-9.587343,1600,1820.081409
-56.902156,1600,1842.325425
-32.641288,1600,1864.546981
-37.606337,1600,1886.853287
-27.52982,1600,1909.146014
-31.673267,1600,1931.468675
-51.259213,1600,1953.818297
-44.10945,1600,1976.120297
-18.03296,1600,1998.42843
-40.687004,1600,2020.71825
