#{"t_start": 1704388265.0818303, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-337.979562,94,0.132409
-181.70694,131,0.23606
-193.194037,107,0.271363
-64.914958,80,0.294003
-79.237482,71,0.314324
-203.327566,86,0.340362
-129.378574,98,0.372462
-247.256205,134,0.413018
-57.321539,92,0.439227
-174.144374,102,0.469873
-452.970689,100,0.496504
-153.571747,78,0.516533
-363.029508,134,0.552865
-277.583932,97,0.578038
-347.222102,105,1.449975
-83.261882,121,1.483872
-46.625215,114,1.514139
-371.684916,109,1.544296
-277.401832,96,1.569048
-160.55717,96,1.594265
-325.195198,113,1.627294
-63.145694,72,1.645336
-125.501124,137,1.682337
-150.988122,102,1.707545
3.873136,72,1.725593
-199.69186,84,1.747447
-139.775318,139,1.78708
-217.217457,137,1.826526
-103.192798,147,2.664714
-174.056878,82,2.685885
-73.639748,126,2.720168
-314.625319,89,2.742964
-441.781438,90,2.765758
-308.553491,99,2.791513
-68.986047,84,2.812993
-224.832732,64,2.828778
-96.946279,103,2.855767
-274.026011,93,2.878093
-390.64014,84,2.899028
-383.332736,146,2.940781
-171.464102,116,2.97068
-207.98197,94,2.995376
-237.220398,124,3.027841
-72.619381,145,3.775731
42.047446,99,3.80153
-280.826908,92,3.825132
-191.58058,72,3.842346
-204.847023,82,3.86288
-356.909365,114,3.893908
-223.979557,111,3.924396
-487.984271,99,3.954667
-343.07963,105,3.981211
-237.579735,69,3.997582
-92.110124,97,4.023001
-313.831119,104,4.048884
-88.770971,88,4.070422
-107.428478,158,4.117179
-163.84979,79,4.137011
-96.005386,107,4.700214
-269.117104,96,4.725318
-435.209723,107,4.753444
-338.085345,148,4.79816
-139.160989,163,4.846953
-101.834202,162,4.896649
-265.503499,85,4.92006
-107.011339,75,4.937678
-130.1845,117,4.969152
-231.418817,104,4.996495
-86.269975,75,5.014279
-283.892972,100,5.03928
-111.662463,130,5.075143
-104.532421,111,5.908162
-280.790395,80,5.927683
-100.83062,151,5.972775
-349.713705,118,6.004344
-375.864781,110,6.033681
27.535075,80,6.05428
-133.415513,120,6.085056
-358.832349,85,6.105915
-222.341615,117,6.135374
-97.521554,73,6.154688
-320.360883,115,6.183501
-77.902824,70,6.201335
-320.207735,118,6.233256
-183.974897,97,6.258828
-188.351072,100,6.285133
-32.184604,83,7.099879
-91.437292,83,7.121893
-216.297245,68,7.138406
-344.198081,115,7.170006
-390.038014,175,7.224149
-173.610517,89,7.246672
-34.043658,85,7.270159
-72.528493,85,7.294198
-175.243861,127,7.334679
-297.692979,102,7.366588
-176.19066,97,9.759529
-592.167124,161,11.789913
-534.299571,170,13.787976
-352.978804,161,16.370914
-307.304103,164,18.299876
-230.818613,141,19.955645
-148.313908,103,21.159684
-801.807951,197,23.473412
-118.724512,115,24.801151
-412.942657,205,27.1924
-224.272518,103,28.38291
-95.727346,114,29.696245
