#{"t_start": 1704388269.8969612, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-285.697174,93,0.114526
-281.417774,123,0.160532
-56.479074,70,0.181475
-36.57415,84,0.210438
-410.239434,130,0.263463
-439.784637,95,0.293057
-269.424644,74,0.315349
-358.2116,122,0.356529
-220.247631,103,0.389732
-32.458116,90,0.419553
-41.566051,193,0.495173
-266.058031,95,0.520366
-300.636914,109,0.549374
-195.701494,98,0.57422
-49.987888,90,1.080283
-152.435795,95,1.105318
-86.237562,88,1.127607
-395.942413,139,1.166408
-267.903699,150,1.210193
-66.745225,68,1.22709
-117.527535,105,1.254433
-170.683217,107,1.280386
-349.77719,81,1.300589
-81.838794,64,1.315529
-401.687509,111,1.345456
-87.2397,88,1.367347
-48.607487,75,1.385954
-345.791414,179,1.444695
-81.093522,92,1.922693
-279.424414,95,1.948346
-312.858024,116,1.979493
-274.504628,129,2.012771
-209.830583,178,2.067564
-339.827001,89,2.090267
-178.822698,101,2.116529
-313.649806,184,2.174197
-155.533218,67,2.190831
-102.181697,104,2.218376
-378.092754,96,2.2419
-42.888782,77,2.262004
-314.677427,96,2.286275
-61.307294,124,2.32205
-52.363209,77,2.734591
-119.837946,224,2.815756
-200.776968,98,2.842257
-418.615733,78,2.863041
-217.407418,132,2.900674
-149.301312,119,2.933845
-315.451237,177,2.989107
-133.008113,127,3.024033
-492.160409,132,3.064906
-107.861528,99,3.092193
-41.07479,85,3.114296
-217.446939,98,3.140128
-180.59067,87,3.163591
-397.686909,88,3.61911
-194.1948,115,3.650133
-141.809904,112,3.680469
-262.281585,109,3.70957
-187.187621,84,3.731806
-346.609455,114,3.762213
-81.03559,83,3.785347
-181.27703,119,3.818372
-302.053465,158,3.866796
-259.379288,74,3.885365
-144.076717,135,3.923562
-200.931653,112,3.953171
-144.685858,73,3.973012
-175.729587,83,3.994668
-336.570708,88,4.438055
-358.898698,95,4.463586
-253.410241,89,4.488501
-340.551621,91,4.51257
-133.261683,105,4.539512
-289.004528,100,4.566193
-408.447494,93,4.589115
-340.448553,117,4.62242
-396.59083,80,4.642787
-159.852605,79,4.66255
-50.591309,86,4.685774
-359.574292,91,4.709011
-428.665709,83,4.729911
-413.330348,86,4.752295
-366.997985,98,4.777069
-192.239147,83,4.799797
-71.705691,92,5.397617
-595.501849,129,5.433422
-284.281554,88,5.456753
-181.289575,95,5.481395
-442.165324,81,5.503088
-307.460334,112,5.534027
-11.528093,88,5.555957
-109.188105,195,5.621531
-152.658091,155,5.669884
-198.363124,81,6.209513
-538.695715,69,7.150873
-292.400719,89,8.317905
-163.768165,146,9.934748
-273.266366,114,11.194273
-588.230558,76,12.541668
-345.925401,105,13.70344
-497.642763,129,15.127111
-461.898051,72,15.912904
-302.205683,77,16.737116
-284.408436,98,17.784134
-253.765612,96,18.81302
-121.436639,156,20.496345
-146.015329,135,21.946861
-332.686828,172,23.800183
-259.28451,102,24.891255
-48.280506,113,26.101167
-366.107734,140,27.594892
-107.802016,202,30.606389
-210.04271,126,31.957053
-92.150622,146,33.520031
-116.410945,132,34.929775
-218.54898,83,35.815073
-64.670615,125,37.151858
-247.033204,158,38.839546
-186.831841,153,40.478126
-62.924633,106,41.60712
-51.634359,141,43.108548
-77.830873,142,44.615034
-76.39305,148,46.798159
-158.810772,111,47.981853
-58.548626,125,49.316397
-59.579706,73,50.090459
-62.308173,101,51.163331
-3.542471,115,52.387096
-1.272793,103,53.48035
-111.696195,133,54.89149
7.690136,155,56.538602
6.566149,165,58.298702
5.841227,129,59.664552
-232.032497,164,61.416401
53.574659,165,64.071765
4.776141,115,65.297719
-28.713651,151,66.910703
19.005251,128,68.277729
-50.897064,177,70.171957
-66.219424,150,71.77293
-159.029838,158,73.465454
1.205171,171,75.428881
16.846473,153,77.062368
44.320341,148,78.642238
-1.758156,184,83.175368
40.589425,252,85.90587
9.633722,270,88.861601
-51.128217,259,91.686218
44.338947,250,94.430997
2.087671,248,97.139791
12.962951,358,112.067405
48.132973,1000,124.132508
45.06508,1000,145.786278
-130.274857,680,153.46205
-42.61451,167,160.699792
-72.182165,1000,173.130715
-84.514051,1000,189.278469
-38.714846,1000,208.450651
12.981836,1000,220.340593
14.394109,1000,238.015481
122.970268,778,246.951007
-92.90966,1000,269.054589
48.290337,1000,290.29764
39.316129,1000,303.576766
129.996925,766,320.931188
165.219894,676,329.442708
214.926288,973,346.633569
39.197825,901,362.343583
-55.538887,629,369.713139
-97.352236,1000,386.460684
1.661775,1000,398.784811
102.311864,961,417.433755
210.645428,548,423.836646
198.953946,648,435.23833
226.298534,592,442.253158
23.690176,1000,460.056746
44.162562,1000,476.908974
123.142014,860,487.885208
-5.85448,1000,505.190853
29.152405,1000,517.086296
44.169262,1000,538.075252
218.52369,503,543.906078
12.665473,1000,560.229169
249.254637,490,565.796695
218.960198,814,582.154031
285.953164,325,585.748057
235.995905,707,598.803927
276.003232,467,604.04228
223.82765,723,618.758662
130.791331,1000,630.671819
82.085216,1000,644.551215
61.215862,1000,658.919144
203.746326,488,664.491084
135.050422,1000,676.009634
147.091512,1000,693.677807
105.390186,1000,710.882905
137.275757,1000,722.80455
133.348425,1000,739.48126
225.016351,850,752.771128
150.102653,1000,764.215125
221.792256,892,779.19297
227.999037,976,795.884515
143.635311,1000,807.316629
271.133485,725,820.296318
225.012361,260,823.121104
150.321544,1000,840.127028
71.200339,1000,851.993228
242.287533,659,863.382472
235.609627,906,874.251748
131.750411,1000,887.936231
161.155875,1000,906.092034
95.141982,1000,918.023558
270.264002,221,920.40048
74.042026,1000,936.500056
77.985159,1000,955.428638
134.27462,1000,966.749935
110.770758,1000,984.643888
141.35724,1000,1000.946793
108.771993,1000,1012.462215
139.730249,1000,1027.912456
44.363656,152,1029.543686
136.195935,1000,1043.964006
150.477504,1000,1060.248199
152.969889,1000,1071.868529
140.203662,1000,1088.305153
239.683578,654,1095.681083
26.073764,115,1096.917069
171.906433,1000,1110.145558
275.087465,408,1114.67756
163.460503,1000,1128.67682
168.838656,1000,1141.843497
116.446826,1000,1153.357498
257.218401,720,1162.669815
231.060822,516,1168.59208
25.49015,157,1170.279566
271.325489,336,1176.298101
273.96297,214,1178.627116
254.392754,325,1182.219769
260.581658,615,1189.124566
281.75559,254,1191.86164
48.696302,161,1196.939338
248.858685,282,1200.050664
253.533654,532,1206.112172
282.879524,321,1209.659554
272.331002,332,1216.229088
274.889831,232,1218.751947
258.054114,448,1223.881247
278.791867,480,1229.177137
215.455599,342,1234.992231
241.01351,345,1238.836113
247.226833,325,1242.446449
287.887875,245,1245.110176
268.743614,428,1249.948793
253.511405,278,1256.514219
250.781842,322,1260.067319
233.344823,262,1262.933547
283.803577,295,1266.185999
240.32844,253,1268.926399
248.099088,280,1275.534447
265.627195,381,1279.797409
254.954165,365,1283.784605
277.228436,376,1287.942198
309.166046,297,1294.14235
291.916289,508,1299.832351
135.41699,1000,1313.076189
306.142039,293,1316.284502
285.033847,252,1319.037154
234.566675,239,1321.648142
256.237336,221,1324.038386
260.852776,255,1326.826618
259.41131,236,1331.448069
291.42633,267,1334.35407
281.166354,236,1336.927849
243.716018,294,1340.157619
234.274186,296,1343.441934
287.22701,189,1345.480177
276.794276,256,1350.137353
230.172995,223,1352.555281
261.884651,331,1356.209091
278.868635,247,1358.891479
258.501829,272,1361.878123
252.741908,242,1364.520892
261.090097,194,1368.825897
261.747182,211,1371.122795
259.349671,454,1376.222176
80.260816,190,1378.276632
286.841979,227,1380.742021
297.366507,260,1383.555587
24.38562,302,1388.627383
308.604729,229,1391.132977
297.189188,257,1393.928418
274.97559,273,1396.931845
273.872047,225,1399.368944
39.302548,190,1401.421382
257.670411,209,1405.609975
282.740151,361,1409.718678
241.884035,231,1412.229831
295.726825,259,1415.069597
267.780684,264,1417.955341
248.271849,497,1425.192811
254.536095,244,1427.867813
263.2699,433,1432.752132
253.947264,389,1437.150169
34.705159,222,1441.230408
268.540082,531,1447.30647
45.134376,177,1449.215598
272.994078,303,1452.535985
268.193851,429,1457.364368
268.100189,260,1462.302294
279.745132,242,1464.936168
256.897268,216,1467.282709
278.092585,256,1470.063552
277.750088,228,1472.557415
284.463471,301,1475.858723
272.198131,277,1480.930833
252.014508,271,1483.901922
312.937121,235,1486.477101
274.864444,213,1488.785022
272.324095,335,1492.483555
276.178053,325,1498.786425
291.72722,254,1501.576636
258.023373,250,1504.30418
283.080757,260,1507.146803
287.30556,218,1509.517517
28.864444,155,1511.186351
241.556573,292,1515.959229
247.211511,214,1518.283524
9.625681,239,1520.890047
242.844616,289,1524.057762
