#{"t_start": 1704388263.8626359, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-140.69693,115,0.1637
-252.878729,106,0.205335
-199.286897,96,0.245119
-191.884543,98,0.279948
-512.529737,97,0.311351
-424.513579,93,0.341014
-239.76644,135,0.392105
-81.638101,72,0.413577
-160.204081,155,0.46644
-287.57701,135,0.510467
-282.649205,96,0.535304
-385.60279,86,0.556476
-246.689015,90,0.578271
-337.411672,88,0.601301
-132.731685,67,1.179706
-66.89375,71,1.196744
-516.499801,91,1.220308
-475.209596,82,1.241762
-238.742993,106,1.270406
36.302876,104,1.29774
-132.938558,70,1.315123
-227.291721,130,1.349599
-198.850857,81,1.369658
-225.172775,114,1.400465
-417.94945,99,1.425002
-126.605026,93,1.448673
-105.787524,150,1.491163
-70.162637,78,1.509914
-447.65981,140,1.551563
-73.912254,98,2.272823
-369.747006,101,2.297559
-286.589662,162,2.346324
-108.290384,92,2.369327
-61.932792,102,2.395525
-103.58114,123,2.426254
-309.651199,117,2.459553
-236.119422,96,2.484112
-229.760222,73,2.502693
-389.93512,102,2.5286
-254.725936,133,2.5671
-217.156689,120,2.6002
-373.648066,127,2.634506
-153.0075,97,2.658734
-77.220349,107,3.435129
-149.537711,85,3.456298
-250.080494,95,3.480438
-144.085985,72,3.497539
-277.134775,99,3.52381
-192.272446,83,3.544374
-68.527386,100,3.570914
-255.504617,124,3.610212
-138.895725,74,3.628776
-273.159854,80,3.649287
-148.353546,85,3.67071
-243.660614,79,3.690804
-224.333022,110,3.720092
-250.28796,178,3.775297
-94.761792,69,3.792152
-244.01257,123,4.281879
-146.981899,95,4.306314
-280.659707,110,4.336701
-72.411967,92,4.362471
-59.788596,74,4.381979
-96.154749,116,4.416184
-267.359289,122,4.448902
-131.865477,123,4.487436
-428.670379,109,4.519174
-159.494943,111,4.549437
-526.805716,121,4.585624
-125.672663,156,4.632598
-250.079339,175,4.689193
-477.701833,121,5.353905
-40.115312,68,5.370991
-31.096086,173,5.42347
-283.715532,96,5.447972
-423.595624,94,5.471424
-225.750575,65,5.487748
-82.798446,143,5.527095
-187.341076,104,5.554288
-301.566544,83,5.574951
-158.281935,139,5.61416
-307.849487,97,5.64005
-121.911991,130,5.676825
-112.334283,100,5.701592
-57.76974,70,5.71904
-627.58311,140,6.867161
-283.953346,112,6.89521
-289.182838,102,6.922617
-32.249462,74,6.941491
-76.030593,81,6.96217
-287.998671,119,6.994607
-418.092707,91,7.017121
-323.454452,143,7.059326
-247.17712,126,7.093527
-71.28993,134,7.851709
-221.213172,128,9.601035
-219.140432,66,10.497922
-417.924829,158,12.650248
-298.895329,135,15.2694
-161.103931,68,16.188143
-401.236419,106,17.628148
-210.871693,99,18.975724
-297.0563,99,20.313397
-193.564756,114,21.861133
-127.658966,94,23.133044
-81.134904,146,25.109692
-174.547004,106,26.539629
-155.984929,58,27.316752
-105.280701,143,29.255135
-146.323183,109,30.720216
-93.029159,93,31.970205
-119.704976,117,33.546899
-253.958824,119,35.697022
-190.191816,125,37.383862
-106.657737,104,38.791936
-11.386477,181,41.245899
-79.984716,130,43.004166
-87.315683,102,44.377633
-79.479714,103,45.761644
-263.907662,106,47.189334
-235.019487,153,49.261143
-252.287901,190,51.83828
-277.95261,156,53.946955
-7.58571,99,55.282009
-73.291141,122,57.576029
-266.369699,170,59.886724
-188.287292,115,61.428472
-245.703268,106,62.855018
-132.135857,93,64.106118
-50.090865,198,66.798356
-219.156234,116,68.369106
-54.364811,134,70.170033
-304.231758,129,71.904686
-228.300555,471,79.597966
-55.216019,151,81.643383
-79.260569,106,83.071077
-144.147785,106,84.498822
-77.354151,123,86.154637
-42.740692,126,87.849725
-54.675966,190,90.438423
18.299093,161,92.621421
