#{"t_start": 1713597787.5137827, "env_id": "BipedalWalker-v3"}
r,l,t
-101.484948,69,0.265869
-98.9398,91,0.308243
-76.811152,1600,1.340177
-86.985576,1600,2.364855
-109.559792,72,2.396081
-103.987822,89,2.432586
-82.671399,1600,3.437996
-104.72799,66,3.466456
-112.554071,58,3.491982
-118.802083,92,3.531117
-86.187792,1600,4.531067
-79.562633,1600,5.539582
-110.740834,60,5.567132
-113.595037,82,5.606783
-113.294311,70,5.639855
-98.725832,70,5.673318
-104.556096,55,5.698162
-103.364405,105,5.740611
-107.902635,36,6.094932
-101.656525,61,6.121068
-98.923098,90,6.159312
-111.380245,55,6.183872
-100.342255,95,6.223699
-102.069215,109,6.272503
-111.958056,62,6.301525
-100.625525,63,6.330894
-152.146105,572,12.472684
-142.925391,250,24.825127
-101.814163,49,27.13533
-115.307042,138,52.108778
-162.796953,658,87.712778
-115.246206,146,95.589669
-118.9834,169,103.728489
-113.824901,118,108.330784
-126.536159,183,116.257095
-117.843182,196,125.939203
-118.156901,86,130.276381
-204.118586,1100,181.931231
-156.054941,676,217.279681
-136.401136,1600,291.452565
-100.201964,70,293.750514
-99.948577,67,295.851857
-101.239093,74,298.352056
-99.876239,67,300.526544
-100.2175,65,302.882183
-100.517593,67,306.446943
-100.552061,68,309.946311
-101.106359,75,313.468615
-100.889635,69,316.498525
-100.385398,69,319.536136
-102.399326,78,323.266617
-100.149508,66,326.414915
-100.834173,78,330.124373
-117.742874,42,332.34543
-153.036277,1600,413.814437
-100.890091,65,417.263227
-100.438917,67,420.556143
-100.599334,66,424.32742
-104.048237,102,430.456649
-107.860912,127,437.77425
-97.828553,76,441.940136
-101.427222,61,444.83669
-117.08659,65,448.098684
-117.155808,102,452.383996
-110.383531,40,453.998325
-109.020079,73,456.873865
-110.503968,64,459.332089
-117.280326,1600,557.932219
-133.625646,361,577.590484
-108.279765,47,580.001274
-189.046593,966,627.775486
-205.082639,1169,688.053202
-114.20059,88,692.763709
-112.413838,68,695.216355
-130.366669,135,700.306198
-118.800225,112,704.418845
-121.18464,69,707.249495
-99.166663,68,710.79605
-113.059411,186,720.267967
