#{"t_start": 1713597970.6185322, "env_id": "BipedalWalker-v3"}
r,l,t
-99.499717,74,0.411714
-101.506029,68,0.48485
-82.485619,1600,1.801924
-87.030401,1600,3.119528
-113.627422,68,3.14945
-103.856333,69,3.179585
-102.314415,88,3.216871
-99.878739,87,3.253057
-100.862167,85,3.289243
-102.53525,84,3.325784
-78.600221,1600,4.73669
-90.29347,1600,6.204609
-82.527572,1600,7.614351
-183.427028,1581,23.681603
-112.669751,79,26.736396
-117.551769,41,28.604871
-110.199022,66,31.496446
-137.331586,305,48.681363
-116.629259,123,53.401231
-122.029353,104,60.985898
-111.766443,71,65.363216
-135.633416,129,75.781688
-111.542535,121,85.031922
-125.658212,483,119.158828
-130.181358,97,127.798938
-116.883784,47,132.145491
-113.008053,73,138.948122
-131.836642,917,221.258464
-107.700323,61,225.968092
-100.43273,1600,347.173647
-116.447396,59,351.161117
-104.46984,1600,459.335087
-108.08851,64,463.242827
-145.555169,855,523.490538
-128.574703,193,534.588307
-121.932386,97,540.060585
-167.971893,949,628.07336
-102.40632,60,635.455808
-105.516994,78,648.437913
-125.385777,99,664.953674
-104.005086,96,680.780417
-102.860489,102,697.592859
-101.110126,41,704.370705
-102.562689,44,711.296502
-99.455693,68,721.266405
-100.18172,54,727.784514
-104.837643,148,740.302026
-102.184204,65,747.436706
-110.487598,1600,876.367687
-124.78475,116,883.24723
-112.790584,117,900.726253
-127.129158,1600,1020.323076
-115.219279,69,1025.116147
-105.594531,1600,1153.12578
-97.084093,1600,1333.413239
-111.224729,142,1346.05641
-122.63374,432,1385.379058
-106.89099,1600,1535.334497
-104.199788,1600,1691.529336
-100.815555,1600,1837.567248
-113.519569,54,1841.486199
-128.778741,81,1847.351738
-107.345334,80,1853.155821
-88.929391,1600,2043.169039
-110.336879,126,2054.860578
