#{"t_start": 1713597970.6185083, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,1.366689
-100.259652,73,1.400225
-116.700649,78,1.434248
-92.186772,1600,2.382485
-101.890562,100,2.425298
-101.011971,1600,3.439994
-78.576327,1600,4.438023
-113.689507,57,4.462874
-113.503877,67,4.491311
-108.296578,48,4.513497
-112.743739,48,4.53592
-117.652578,71,4.566524
-99.491715,126,4.620344
-100.772134,74,4.652107
-101.106839,53,4.676103
-100.597213,79,4.71076
-102.152501,85,4.746242
-123.593901,120,4.79751
-121.438777,107,5.206439
-89.43426,1600,6.184605
-100.063141,75,6.218999
-181.12276,1323,30.124766
-122.881924,62,33.107941
-123.062336,61,35.690404
-119.57573,56,38.071966
-121.902388,59,40.784718
-153.612397,635,74.0567
-116.390346,58,77.49328
-116.976831,93,83.540044
-200.410572,1269,171.706388
-111.146969,46,175.506811
-107.95732,70,181.397291
-115.899279,1600,293.443705
-110.641012,50,297.142251
-111.208771,52,300.923034
-112.160795,128,308.722788
-109.050536,65,312.705077
-112.786269,54,316.015173
-112.407817,56,319.490194
-106.409325,1600,436.796746
-122.005948,344,456.427711
-99.783057,96,461.616546
-125.474811,73,465.55847
-119.232637,302,482.05696
-126.882819,100,487.50534
-130.439025,155,495.341631
-101.527662,96,501.39315
-99.905151,72,506.021941
-126.167546,102,512.506522
-102.817285,64,517.717019
-114.200861,46,521.302086
-119.056064,58,525.632981
-121.799706,100,532.57099
-128.444068,167,544.140242
-111.594827,65,548.629831
-106.258564,57,552.373846
-111.930219,1600,670.234867
-100.589945,98,676.202095
-99.596206,62,679.926911
-105.479889,109,686.417293
-103.023206,95,692.114096
-100.643976,84,697.175684
-99.524438,70,701.439809
-100.68008,71,705.840976
-123.53284,1600,820.021503
-125.948449,1600,971.308448
-106.135118,145,989.218714
-133.229754,1600,1207.063876
-134.012596,1600,1349.379228
-134.635961,1600,1511.042496
-111.612643,82,1517.063476
-119.184019,73,1522.400848
-124.499052,1600,1675.679338
-123.726222,1600,1815.291327
-123.86738,1600,1928.078375
-124.21815,1600,2089.610131
-212.046133,1218,2188.655007
-175.789196,726,2241.38315
-111.949977,78,2250.651426
-135.221518,1600,2387.281671
-103.196892,84,2392.943919
-102.547748,68,2396.851242
