#{"t_start": 1708492150.8258827, "env_id": "BipedalWalker-v3"}
r,l,t
-102.758336,63,0.138612
-103.32094,44,0.166487
-100.013743,81,0.212927
-115.53155,51,0.244761
-105.248019,95,0.292161
-97.596092,81,0.327446
-99.603484,66,0.356198
-112.545092,50,0.379345
-102.364649,74,0.41182
-92.453241,1600,1.058778
-97.209671,65,1.089335
-97.439001,1600,2.233737
-118.413718,78,2.298268
-130.415607,165,2.426633
-96.92236,69,2.4848
-115.277321,73,2.546
-103.947817,140,2.65716
-124.896852,124,2.755525
-106.244264,104,2.839502
-110.753654,45,2.881027
-115.076765,58,2.931083
-124.616373,135,3.038383
-100.080504,75,3.100686
-101.923829,121,3.197093
-79.064631,1600,4.418778
-106.358948,71,4.478106
-110.188039,41,4.516349
-144.558353,1152,5.393167
-99.290003,96,5.472308
