#{"t_start": 1713597758.9968863, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,2.530977
-100.259652,73,2.56434
-116.700649,78,2.597977
-92.186772,1600,4.892648
-101.890562,100,4.934686
-101.011971,1600,6.126364
-78.576327,1600,11.936263
-113.689507,57,11.971081
-113.503877,67,12.009988
-108.296578,48,12.040004
-112.743739,48,12.070596
-117.652578,71,12.11192
-99.491715,126,12.185151
-100.772134,74,12.228439
-101.106839,53,12.261174
-100.597213,79,12.308627
-102.152501,85,12.357257
-123.593901,120,12.42642
-121.438777,107,14.549898
-89.43426,1600,19.564874
-100.063141,75,19.610203
-164.584642,1119,33.550736
-109.471945,77,36.035047
-150.726888,562,54.86709
-115.512607,63,56.857928
-117.203632,111,60.363623
-124.500263,275,69.55328
-109.815591,89,73.99966
-112.056385,58,76.927496
-114.981302,55,79.593267
-108.273152,49,82.068664
-156.219114,610,127.933947
-116.882359,81,131.255755
-114.774103,67,133.92985
-166.011264,707,160.976869
-122.647883,69,163.527221
-106.46942,50,165.369746
-144.305203,343,180.448785
-131.486523,92,185.081436
-114.105464,58,187.418761
-192.06648,845,226.721062
-97.57955,1600,317.89459
-122.183024,93,321.492989
-121.490332,84,324.729178
-122.713015,101,329.868049
-75.077451,1600,396.951741
-113.259135,80,400.707311
-116.926215,75,404.225039
-122.13118,122,410.001779
-102.386009,84,413.960041
-106.483698,64,417.001266
-117.131169,59,419.7698
-120.399889,107,424.6798
-116.606198,76,428.007763
-118.103534,79,431.470635
-111.626104,54,433.84021
-110.219537,36,435.421454
-118.380712,79,438.877413
-113.697199,54,441.089734
-118.734561,134,445.624545
-119.879305,87,448.513817
-115.424165,48,450.124323
-68.275733,1600,528.797918
-114.030856,56,533.22437
-82.743015,1600,603.897866
-110.411875,62,606.828205
-115.11024,58,609.524725
-73.128374,1600,671.67917
-104.607367,58,673.70419
-122.798288,99,677.151275
-120.523704,88,680.204726
-120.031368,102,683.776123
-115.919969,61,686.038226
-80.556358,1600,758.436234
-121.288905,134,764.78639
-114.268809,66,767.924519
-121.113814,73,771.398969
-116.435795,73,774.859884
-112.133767,53,777.374127
-118.326713,74,780.899174
