#{"t_start": 1713597758.9968772, "env_id": "BipedalWalker-v3"}
r,l,t
-99.595425,75,0.273674
-103.299626,67,0.314511
-99.465372,59,0.340507
-102.922965,71,0.37145
-105.821982,56,0.395853
-96.988104,1600,1.479409
-123.405392,113,1.526384
-83.320018,1600,2.577807
-102.746041,67,2.606049
-85.927843,1600,3.656623
-99.229809,125,3.709283
-109.785396,63,3.737073
-98.054049,82,3.772183
-106.705514,60,3.796822
-78.190611,1600,4.837928
-105.063013,74,4.869441
-114.231724,78,4.902474
-117.732946,88,4.939802
-82.378573,1600,6.391626
-102.640813,73,6.43556
-106.271581,73,6.477864
-125.538772,125,6.546574
-153.622576,833,13.007751
-155.056261,349,29.895316
-125.059898,72,33.179266
-100.487819,74,35.942391
-111.410882,106,39.619751
-114.6197,125,44.457184
-104.944826,89,50.148173
-119.063889,236,62.427924
-117.168884,74,64.848118
-142.204811,486,82.51543
-106.169911,108,86.355286
-104.19389,160,96.981128
-129.026864,122,101.825465
-108.12667,120,106.515903
-130.528265,442,122.099339
-166.846351,641,146.584249
-103.038638,54,148.492211
-102.978285,100,158.110049
-107.709141,54,160.208905
-133.835671,1600,222.839066
-103.013936,126,227.89052
-104.372206,74,230.858508
-103.71417,85,234.272181
-183.685163,982,275.736546
-134.051809,1600,380.837131
-147.620329,1600,466.453983
-151.032196,1600,548.155824
-162.609852,538,567.941407
-122.399737,276,580.02357
-126.204828,1600,664.086137
-101.18276,85,667.91511
-123.737739,70,671.128685
-105.648885,82,674.893204
-102.582569,85,678.795115
-187.462725,845,726.84685
-102.367439,100,731.011263
-105.291951,85,733.758498
-105.232559,102,737.045459
-106.239165,97,740.174458
-125.96577,86,742.945023
-107.320455,77,745.422476
-104.293432,68,747.610593
-123.085309,1600,844.284313
-100.943805,71,846.629475
-123.609322,1600,894.970083
-121.671899,72,897.478681
-117.369207,50,899.040478
-102.364581,80,901.866163
-103.961131,85,904.487834
-103.453126,94,907.304094
-125.762422,1600,967.947412
-102.641843,73,970.390904
-101.68162,86,973.691389
-105.384725,92,977.063345
-105.515872,87,980.274846
-126.008494,99,983.833225
-103.134247,77,986.669057
-105.728732,65,989.099326
-113.223638,161,994.308696
-121.154593,78,1005.317741
-105.82993,153,1010.68305
-101.642474,71,1013.124845
-112.344285,137,1018.705786
-127.425579,1600,1080.700458
-102.689176,93,1084.131547
-101.63114,75,1086.835285
-106.112041,76,1089.742609
-104.198878,66,1091.992584
-101.724675,87,1094.965552
-110.953435,121,1099.323441
