#{"t_start": 1713597758.9968276, "env_id": "BipedalWalker-v3"}
r,l,t
-81.480078,1600,1.130115
-80.127907,1600,2.111735
-101.363673,58,2.136761
-75.667924,1600,3.11392
-111.10766,47,3.135036
-95.101843,1600,4.106495
-120.644025,109,4.151373
-109.899182,65,4.178941
-125.17957,109,4.223836
-98.048739,80,4.256366
-103.947827,86,4.292185
-84.679819,1600,5.274031
-114.377049,55,5.297707
-80.949198,1600,10.50007
-129.165334,169,15.278256
-102.464491,93,17.813617
-101.562373,53,19.757599
-100.826745,56,21.461744
-101.325896,56,23.14836
-115.640889,78,25.096804
-123.104838,74,26.817576
-116.373652,58,28.324582
-141.058819,209,40.169118
-100.3812,80,43.877046
-112.884307,67,45.987233
-108.876441,129,49.957865
-119.4154,100,53.066655
-115.068431,75,55.366664
-115.530586,73,57.6091
-117.678743,78,60.5614
-117.369609,76,64.946835
-113.890338,70,68.550623
-116.67664,72,71.178238
-117.276446,93,74.599513
-115.85772,69,78.580258
-118.055615,83,82.686889
-115.038714,67,86.09149
-114.910704,65,89.224203
-113.629,70,91.267863
-112.026081,165,95.691369
-118.353623,77,98.237741
-115.65231,75,100.332622
-115.861937,71,102.628632
-115.121501,68,104.687219
-116.306548,64,107.101501
-114.408502,65,110.380461
-115.278075,77,113.635253
-115.424698,71,117.04849
-113.712993,57,119.784175
-116.43185,77,122.506745
-115.234499,76,125.088171
-114.802842,68,127.354263
-114.34698,194,135.330451
-118.395169,100,140.722733
-116.322545,81,144.569373
-116.021558,78,147.604529
-115.061191,72,150.327837
-115.012347,69,152.728422
-115.634108,74,155.181479
-115.53689,68,158.049421
-116.674738,86,162.280076
-116.463576,85,166.459919
-114.197836,65,169.729406
-117.541773,68,173.086212
-116.231321,82,177.324232
-114.867958,66,180.742926
-116.243418,80,184.676863
-114.460572,68,188.014309
-114.46294,71,191.499204
-115.101235,69,194.888811
-115.277617,73,198.410838
-113.217549,57,201.19171
-115.180695,74,206.019567
-115.284115,76,210.05453
-115.362294,69,213.502917
-113.574077,56,216.453806
-115.442619,68,220.069811
-114.69856,80,224.132464
-117.36568,69,227.635652
-116.833971,72,231.309628
-115.998193,69,234.811925
-117.18962,72,238.46998
-116.130005,76,242.359676
-105.94728,77,246.690278
-114.875468,62,249.744716
-118.842676,97,254.058852
-117.943917,90,258.463978
-107.906901,88,262.733875
-114.624468,68,266.040291
-116.190614,79,269.88308
-114.696134,67,273.135956
-115.264871,80,276.986465
-114.177971,67,280.316457
-113.798833,60,283.634113
-115.049967,69,286.101358
-116.784954,94,289.402239
-112.682774,181,295.907117
-107.120777,85,298.952263
-114.548902,66,301.321082
-114.302551,66,303.693558
-114.716631,68,306.134393
-116.482166,74,308.791808
-115.30059,67,311.198561
-115.039374,68,313.659289
-116.777063,86,316.721953
-106.869524,91,320.402163
-113.806233,53,322.840021
-115.066229,67,325.925211
-113.302426,57,328.39033
-114.325046,69,331.216276
-115.197187,68,333.596976
-115.987096,70,336.05074
-112.264652,48,338.481974
-115.241746,80,342.086751
-113.857382,64,344.285046
-107.33815,94,347.45647
-114.195586,64,349.619497
-115.143657,67,351.883619
-116.39721,79,354.622118
-114.076246,66,356.840523
-114.131647,62,358.929021
-114.830398,70,361.306981
-113.615064,58,363.2811
-109.054007,118,367.276042
-113.159554,63,369.408367
-115.374466,76,371.956417
-106.976596,90,375.002454
-115.127224,68,377.385195
-114.808092,68,379.899083
-110.724618,109,383.884172
-115.512921,69,386.408615
-109.773795,140,391.531944
-115.40398,67,394.001697
-115.133103,68,396.482489
-114.951885,63,398.775859
-110.839033,153,404.327053
-116.041717,77,407.132882
-109.897275,140,412.233258
-113.860933,63,414.536456
-114.140215,64,416.877003
-112.024653,54,418.845994
-115.377469,71,421.469095
-114.963488,68,424.052869
-114.899692,61,426.629393
-115.700789,65,429.348239
-114.536895,66,432.123274
-114.553623,66,434.89364
-116.168426,85,438.488642
-115.402273,69,441.160398
-115.922595,76,443.847632
-115.316219,67,446.691331
-114.226694,64,451.301152
-112.857237,54,453.420268
-113.360305,65,455.63572
-115.02805,72,458.084193
-115.738132,84,461.199109
-114.18347,63,464.280045
-115.975958,70,467.668729
-114.745488,65,470.799231
-114.270531,65,473.941526
-113.413188,63,476.985206
-118.482087,101,481.86268
-115.44248,73,485.387854
-117.196908,90,489.788895
-114.735229,66,492.958361
-115.658812,75,496.54932
-115.364815,76,500.232788
-115.255884,69,503.583772
-117.197922,97,508.248117
-113.586273,63,511.317747
-122.471595,153,518.527615
-115.503783,75,523.563021
-114.781886,64,526.977558
-109.010256,130,532.921587
-115.38669,78,536.704239
-115.208532,77,540.771632
-113.980523,62,544.097102
-115.060126,67,548.022789
-114.664586,64,551.529938
-114.940403,68,555.249182
-120.953056,141,562.911258
-115.992498,73,566.406809
-114.654477,66,569.757324
-114.486234,64,572.854184
-116.61646,71,576.340501
-112.642553,60,579.284804
-115.498829,70,582.708531
-114.384249,65,585.897857
-115.973274,74,589.524598
-114.812635,69,592.883482
-114.970174,68,596.192943
-117.965438,92,600.52267
-114.876761,75,602.80985
-115.927355,84,605.449271
-116.805463,71,609.026217
-113.838322,64,612.266393
-123.011239,179,620.807337
-115.252357,74,624.287366
-122.91394,103,629.081853
-115.825999,70,632.373897
-114.781304,65,635.835735
-115.033775,73,639.758663
-112.30529,53,642.601439
-114.904892,63,645.975279
-116.693365,89,650.767185
-114.716231,66,654.368261
-115.413428,62,657.681921
-115.478877,73,660.638883
-115.341117,69,663.327911
-115.716305,74,666.223129
-116.479775,92,671.524131
-115.708738,68,675.245699
-114.455946,61,678.569592
-107.585344,80,682.754258
-106.334104,84,686.881836
-114.866906,65,690.430009
-113.708232,60,692.406375
-115.317393,80,695.058531
-114.841268,70,697.35987
-114.049149,69,699.629657
-113.791113,59,701.573372
-115.677671,70,703.873597
-107.230797,79,706.468318
-117.443886,88,709.39141
-113.632365,65,711.532931
-115.377504,59,713.477614
-116.1542,68,715.628419
-111.904358,176,723.228323
-116.755613,89,727.304239
-116.672135,80,732.427204
-115.61848,74,736.182169
-108.156134,88,740.611641
-114.269074,63,743.737376
-116.323277,71,747.283089
-117.968299,91,751.818032
-115.292635,75,755.699725
-114.719263,73,758.781326
-115.234444,65,761.508042
-115.819463,68,764.361382
-115.447508,68,767.212006
-114.378106,67,770.017511
-114.253063,63,772.654884
-113.109682,62,775.219462
-115.260853,73,778.235443
-116.181138,81,781.582737
-115.419341,62,784.14877
-115.223339,68,786.925931
-115.378877,70,789.787241
-113.409712,55,791.681824
-115.662999,68,794.054246
-115.197937,72,797.804404
-114.485915,66,801.537985
-117.911511,106,807.534173
-114.768869,69,811.442994
-115.245658,66,815.052336
-115.225411,68,818.769973
-108.320275,83,823.139395
-116.833495,86,827.703334
-114.16082,72,833.993292
-113.019343,55,839.099282
-112.334346,49,842.085608
-107.517314,101,846.929799
-115.80706,63,849.824273
-113.707622,60,852.329895
-114.924912,68,854.662534
-117.544252,93,858.793862
-115.826443,75,862.137874
-113.646113,57,864.678137
-108.602521,120,870.140701
-114.143779,65,873.086469
-115.299559,75,877.330391
-114.485781,66,880.763835
-114.552516,68,884.02738
-113.960321,71,886.437973
