#{"t_start": 1713597758.997337, "env_id": "BipedalWalker-v3"}
r,l,t
-99.499717,74,0.223218
-101.506029,68,0.278996
-82.485619,1600,7.020947
-87.030401,1600,15.649988
-113.627422,68,15.731687
-103.856333,69,15.80319
-102.314415,88,15.906068
-99.878739,87,16.007788
-100.862167,85,16.099093
-102.53525,84,16.200549
-78.600221,1600,27.580622
-90.29347,1600,40.583044
-82.527572,1600,57.430249
-180.968005,1531,77.203823
-110.471193,70,81.166323
-121.647027,79,85.624161
-113.373045,153,90.895827
-113.25266,106,95.219561
-130.494495,173,101.112045
-112.26461,59,103.140213
-111.99746,35,104.346244
-120.007005,74,107.176584
-116.914841,40,108.717375
-119.836836,47,110.521145
-135.899545,164,116.844976
-128.137029,105,120.863971
-130.321746,119,125.427781
-133.657282,145,131.528472
-122.409741,204,140.384905
-137.862003,191,148.532869
-130.382583,130,154.195948
-119.267998,47,156.140398
-122.829989,42,157.953288
-120.793302,43,159.756725
-121.832011,42,161.519618
-130.687395,120,166.558307
-116.105646,132,171.732047
-123.566002,42,173.399064
-125.761418,95,176.947966
-122.655977,43,178.505471
-122.505342,42,180.036886
-123.975744,43,181.601818
-120.345301,43,183.30153
-121.84206,43,185.009618
-123.359308,42,186.69855
-123.942649,43,188.428712
-128.83867,111,192.838108
-127.583982,100,196.81864
-125.200387,95,200.594149
-128.6611,107,205.043138
-126.158061,95,208.902369
-138.666698,200,219.078225
-134.1288,153,228.296121
-123.466523,43,230.858229
-121.35052,190,242.054583
-127.963667,100,247.009114
-124.430936,1600,316.308719
-114.997485,1600,391.096208
-109.45266,51,393.717414
-115.716104,42,395.767734
-113.074327,59,398.640383
-122.722039,105,403.753555
-125.712153,99,408.426795
-118.024901,179,415.569472
-131.849005,208,425.393523
-126.490798,119,431.385057
-129.757849,144,438.595951
-120.780279,119,444.690311
-132.12246,176,450.497321
-128.290997,127,454.263588
-124.996092,93,456.788957
-127.844631,145,462.405121
-126.217791,105,467.109061
-128.209116,143,473.498484
-122.0922,88,477.427757
-128.910224,141,483.729857
-112.407643,97,489.271728
-115.149798,72,492.035078
-126.19335,124,496.81109
-121.011748,92,500.342277
-109.152317,44,502.038819
-115.712201,64,504.505332
-111.502599,103,508.462216
-115.824075,99,512.320185
-118.90606,87,515.667948
-113.013179,97,519.376878
-120.838261,44,521.400606
-117.759173,52,523.925308
-132.202085,104,528.90691
-102.935026,65,531.539992
-102.955776,63,533.073188
-161.633849,476,551.849083
-126.230968,75,555.344449
-125.64224,204,564.867494
-116.194007,147,571.843024
-125.605396,81,575.823901
-107.82012,79,579.714153
-102.46035,81,583.71442
-104.730744,99,588.591695
-122.03029,65,591.801956
-148.133866,408,607.080566
-104.513394,75,610.547455
-104.507578,79,615.067543
-104.298034,80,618.863636
-104.154616,67,622.046293
-105.558662,109,627.227062
-104.037154,74,630.744799
-105.483185,72,634.165987
-104.341221,68,637.413183
-126.12054,89,641.649477
-104.764421,67,644.84271
-104.117566,64,647.892775
-102.57535,59,650.708953
-108.622813,89,654.951332
-115.499311,108,660.093846
-102.623902,86,664.191345
-102.524332,61,667.10188
-106.002464,68,670.309161
-103.273871,73,673.713475
-129.584986,102,678.483339
-105.840955,90,681.651944
-102.435065,61,684.041237
-101.713484,70,686.268096
-117.271539,182,692.28203
-110.625815,111,695.961469
-130.73034,254,704.372805
-102.202445,77,706.926076
-107.001225,82,709.646481
-102.395052,60,711.639777
-109.528852,89,714.589301
-116.102867,135,719.086113
-111.049966,84,721.866036
-111.211749,100,725.175221
-107.004882,88,728.086109
-132.637504,364,746.327455
-112.806196,111,751.860261
-102.534059,64,753.987427
-113.121884,182,763.599406
-119.053653,56,767.057688
-108.508661,101,773.275694
-104.918624,55,776.663856
